Country,1980-1983,1984-1987,1988-1991,1992-1995,1996-1999,2000-2003,2004-2007,2008-2011,2012-2015,2016-2018,2019-2021
Bahrain,,,,,,71.71,76.63,79.27,96.55,86.39,86.99
Costa Rica,14.89,15.61,21.35,35.9,61.5,72.66,95.77,104.89,115.97,116.64,136.45
Thailand,5.31,7.85,16.04,27.99,35.23,51.86,74.76,89.36,100.87,106.13,108.67
United Kingdom,,,,,,81.41,90.0,89.23,96.29,105.41,101.04
"Iran, Islamic Republic of",49.45,53.94,69.88,,,100.21,112.84,122.94,96.44,120.43,68.38
Tonga,,,,,,110.33,84.74,59.71,97.12,97.13,87.2
Cameroon,51.57,51.83,99.24,107.11,104.64,110.13,109.35,91.36,89.17,82.39,78.46
Eswatini,34.82,37.16,64.98,72.73,87.33,110.88,133.92,88.32,94.49,91.3,99.05
Kenya,26.16,28.76,31.02,50.37,51.78,64.27,81.34,89.23,98.85,97.61,99.01
Afghanistan,,,,,,43.55,104.59,79.16,87.23,118.8,124.14
Chile,10.95,13.98,22.81,33.51,54.09,67.55,87.31,91.89,99.32,101.02,103.47
Pakistan,18.2,21.71,35.53,48.6,50.22,71.0,102.74,108.71,106.16,107.43,139.37
"Korea, Democratic People's Republic of",,,,,,31.3,40.21,49.33,84.4,38.98,3.2
Sierra Leone,,,,,,9.5,31.71,37.3,187.6,99.52,90.93
Romania,,,,,,36.3,55.27,73.85,92.69,110.66,109.04
Jamaica,90.78,89.62,112.16,150.1,161.36,149.31,149.65,116.48,103.49,108.73,101.01
Israel,,,,,,71.98,91.04,95.61,98.44,95.35,88.77
Senegal,30.3,33.93,30.4,35.9,58.31,82.54,89.32,85.95,88.89,112.56,145.63
