Country,1970-1975,1976-1981,1982-1987,1988-1993,1994-1998,1999-2003,2004-2008,2009-2013,2014-2018,2019-2023
Malta,199844077.68,695312927.18,834696352.27,1962968405.97,4043937261.42,4973220793.71,9008223673.9,14758816544.3,19810534395.2,29649818124.49
Italy,28033251343.32,74366039871.49,105408662349.17,200778356834.13,289371805056.4,312655634919.62,530742968558.03,570131799246.65,596888903085.1,686221052068.69
Czechia,,,,13769427078.82,24150944856.07,34898515870.88,105861232584.92,147927464605.97,168537371146.11,204795520814.47
Paraguay,139812353.94,486664021.16,936727003.85,3170746405.58,5087554526.54,3622863201.7,6783194631.02,12226910697.81,14002379818.92,14469597292.2
North Macedonia,,,,1170311716.65,1110829319.8,1128258214.15,2895480474.65,4177846394.31,5924138182.07,9011380557.61
Niger,122657831.46,438927163.0,379442910.9,405872191.33,327347433.66,350854393.37,707675869.38,1393416414.25,1452668456.92,1403158648.39
Turkmenistan,,,,1997375661.38,1552960768.54,1494894453.15,4768132404.89,15517754385.96,12370883208.02,11522780000.0
Kyrgyzstan,,,,798517992.42,579223111.9,607649529.33,1566086049.73,2889855602.36,2567966968.03,3132282284.0
South Sudan,,,,,,,9630874288.72,6620690900.93,4878837592.32,
Burundi,29712719.69,84964106.28,115488874.13,105427953.37,88420940.96,50076623.92,97463452.16,192133665.91,183822310.46,139527470.57
Cayman Islands,,,,,,,,,3891555566.22,3750195000.78
Somalia,64572734.15,140885087.76,112888123.1,74583427.35,,,,942600662.44,1063244263.63,1546918568.46
Germany,56502362554.15,137953100719.67,189207644557.41,391366442493.04,551463537742.56,662108495219.03,1290769593247.61,1553190281271.1,1713846962578.84,1945067307387.28
Tonga,13435004.58,12512134.79,17743513.13,29940902.65,39229842.0,31237208.9,45166883.78,65562695.82,89323209.97,90362648.01
Puerto Rico,2542780000.0,5622233333.33,10122000000.0,18629666666.67,24545600000.0,44523180000.0,59141300000.0,61490940000.0,67026440000.0,61425140000.0
