Country,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1998,1999-2002,2003-2006,2007-2010,2011-2014,2015-2018,2019-2022
Costa Rica,35.84,49.85,130.99,111.26,51.44,30.45,31.89,32.92,27.45,32.63,45.41,54.83
Georgia,,,,,27.3,44.21,60.12,41.01,60.97,78.26,105.89,118.94
Eswatini,25.13,,,,18.77,17.01,22.36,16.91,16.98,17.9,17.89,25.34
Syrian Arab Republic,,,,,,,,,2.52,16.24,28.8,41.46
Jordan,21.43,34.45,55.88,106.86,177.4,107.83,123.88,104.86,65.99,62.99,70.53,84.67
Sri Lanka,23.27,37.85,51.69,68.93,69.86,59.61,60.62,50.85,42.4,48.67,54.96,70.73
Thailand,13.41,17.78,32.56,39.93,39.59,73.73,62.37,34.27,27.8,37.37,36.32,39.1
Kyrgyzstan,,,,,13.93,68.99,139.75,106.35,83.34,98.33,114.12,99.7
kos,,,,,,,,,24.57,30.22,32.09,35.54
Viet Nam,,,,327.06,248.93,99.49,50.62,35.34,30.54,32.66,38.28,38.89
India,13.46,13.0,13.16,19.93,30.53,24.21,21.27,17.31,18.16,21.56,20.53,19.91
Chad,8.38,22.41,26.27,26.21,42.47,59.84,70.82,42.24,21.86,22.64,28.92,30.13
"Moldova, Republic of",,,,,,54.87,113.67,75.38,63.44,57.71,69.61,64.24
Lebanon,,,,30.26,30.43,31.17,69.6,110.49,126.89,130.26,141.16,226.82
Guatemala,10.91,13.42,19.98,36.15,29.6,21.09,22.12,33.25,38.48,33.94,33.31,31.13
Azerbaijan,,,,,5.85,13.96,28.28,22.34,12.51,15.18,35.81,31.12
Russian Federation,,,,,24.9,41.04,60.3,36.88,30.34,28.28,35.92,26.18
Bhutan,,,1.28,19.2,40.85,44.22,60.73,85.05,64.53,87.57,110.43,118.87
Madagascar,38.58,22.5,40.34,99.82,110.61,101.68,95.94,60.49,27.41,25.21,27.06,36.34
Dominica,,,32.09,47.29,43.19,39.14,65.4,88.74,59.63,61.76,55.56,61.18
Samoa,,,80.2,95.57,116.37,,56.61,43.73,40.26,57.98,54.8,55.57
Côte d'Ivoire,32.87,45.5,117.23,151.34,200.69,157.03,115.35,82.86,60.31,35.66,26.12,41.36
Sierra Leone,24.6,38.16,55.57,134.19,204.5,159.88,160.12,110.47,28.92,32.81,42.65,51.58
Tunisia,36.67,40.58,47.18,69.43,63.44,58.17,60.09,62.66,53.44,54.08,73.39,94.05
Cambodia,,,,,,58.23,58.79,52.18,30.98,48.49,55.26,72.47
