Country,1970-1980,1981-1991,1992-2002,2003-2012,2013-2022
Afghanistan,,,,1858720761.46,1981260257.44
Tunisia,1554676132.61,5293450009.96,9431464823.28,16629792313.91,22626607704.63
Cambodia,,305433705.03,1885198736.4,3218480823.6,10877991433.54
Uzbekistan,,,2525645073.65,5516773395.0,20979732775.99
"Venezuela, Bolivarian Republic of",4823799724.52,26264885782.04,34720783498.84,63521404521.16,126101380597.7
Mexico,19039292893.69,81294415820.4,128950082574.46,232427642566.36,505126270394.14
Russian Federation,,,108935784882.36,309793847496.56,429917289788.85
Chad,133924667.81,290883586.62,863663783.44,1788750594.61,2793575860.32
Tonga,,35937335.19,59916404.1,111961085.68,179223913.72
Cabo Verde,,97078100.7,237313861.65,684591319.6,1736460103.08
Guatemala,419236773.32,2122077578.85,2642805827.39,10395844238.13,21302476498.39
Malawi,319483381.57,1002560681.87,2185258034.41,1511775365.83,1848070087.57
Sao Tome and Principe,12669774.22,80916725.16,239528956.79,218716730.37,233839830.82
Ghana,745481996.02,1910783422.02,5162716093.43,10243977835.91,29666893529.82
Niger,201395251.96,1172975112.93,1500689108.64,1340852317.74,2921102612.84
Jordan,525742727.65,4324138445.61,6645022231.4,6914994880.54,17743056559.89
Mongolia,,,601261800.65,3965900758.31,25142696588.86
Serbia,7287027399.31,17520979054.45,8633976623.49,21723534814.53,31926076079.79
Vanuatu,,12966852.64,52651445.73,89030846.02,272074866.88
Tajikistan,,,717786650.94,1831685043.98,4655465435.91
Viet Nam,,5707722075.9,18542353584.65,26032061017.58,85245523520.96
Liberia,250570684.22,915923527.55,1098173720.18,796736265.02,722054260.47
Bosnia and Herzegovina,,,2503752024.5,9051402558.65,10311906988.11
Angola,,7327433934.0,8542473706.96,14529959053.53,49573517670.68
Suriname,,,,,2940577639.76
