Country,1971-1975,1976-1980,1981-1985,1986-1990,1991-1994,1995-1998,1999-2002,2003-2006,2007-2010,2011-2014,2015-2018,2019-2022
Cabo Verde,,,208572.82,5776189.54,6862276.05,11902741.95,7468363.35,1122820.12,1046885.08,0.0,0.0,13828.25
Benin,3101604.02,54160341.04,96088364.58,131816903.28,38360328.5,78996042.3,85877439.42,35571718.33,188997915.62,223761528.62,56761941.52,260531750.0
Viet Nam,,,0.0,639405327.16,2412401917.78,2890271826.95,1149223589.22,1748483295.5,5078601899.0,12226318167.35,16548441849.02,30596990882.52
Grenada,,1250000.0,2001410.62,7726079.84,20983618.68,26884385.68,41707354.53,43935500.78,46265082.58,53023501.82,21132424.9,75264509.88
Guatemala,57200000.0,248800000.0,158718800.0,328400127.98,538403807.17,969351704.22,1182700206.97,1528148750.0,1741500000.0,1272001005.12,1101375000.0,1139017000.0
Myanmar,0.0,96400.0,222600.0,92494149.58,317034368.2,408595683.55,553306409.45,813822662.7,1061947482.28,582201760.0,97919725.4,49390448.18
Uzbekistan,,,,,127666666.67,217320250.0,424143250.0,171350500.0,321014750.0,120378000.0,546750000.0,3196390201.8
Argentina,782800000.0,4893280000.0,11161084260.2,6525168841.08,11386431260.68,26949082907.72,23144802311.95,28056501796.38,18584776974.92,30395061478.7,55931972421.52,50671668300.88
Yemen,34002000.0,139371976.28,268624815.08,781587332.2,945667000.92,415808095.88,463564241.15,293962233.7,360331333.55,211508092.3,318482877.15,464648427.48
Syrian Arab Republic,,,,,,,,,635912657.03,467922958.8,525076121.17,598697974.4
Fiji,,19147691.38,25600200.0,19775817.24,26220580.15,15477661.7,13996948.45,61277617.02,43221240.02,84240821.68,71740750.0,52946750.0
Mauritania,112686.94,42323806.96,105225607.68,162716982.24,208777325.0,219042977.4,246215799.08,183963041.62,1094380350.45,1029732279.8,1053185715.18,636192562.1
Guyana,882500.0,63747981.34,359618195.22,484332706.04,55200302.12,115989097.28,121534349.4,119530188.58,301046915.65,825650366.32,198509638.9,53475872.65
"Moldova, Republic of",,,,,2973270.27,14457096.5,355262409.5,673184115.12,1318330750.0,1564648000.0,1514297500.0,2140507000.0
Ecuador,151265800.0,1003607800.0,1530515939.56,1162490957.46,3101232100.02,1809661659.4,1406413445.82,1682775995.75,1489427043.5,873736062.82,1026697032.65,1309374870.78
Afghanistan,,,,,,,,19149951.9,41609637.2,118372668.7,386415549.38,423430843.35
Mauritius,,66233.0,12162.08,485571.12,2642690.43,224756.12,0.0,0.0,696907250.0,3221460507.45,4868601031.75,6927946246.75
Cambodia,,,160000.0,11066388.98,22065102.02,485851.25,277412.12,26648.1,172536750.0,847393750.0,1797848500.0,4060367500.0
Philippines,813600000.0,4161000000.0,9756716205.32,4285263646.54,5237846780.3,7724837500.0,5500757338.55,5657250000.0,7149681500.0,15414797500.0,14991966500.0,15781404250.0
Gabon,54800000.0,211805611.8,213261875.38,518842958.82,717140115.25,366719169.35,372219119.95,294737562.05,208866862.22,160535217.85,211474282.68,194081870.12
India,391200000.0,710200000.0,3072400000.0,6604400000.0,5325000000.0,5287500000.0,3557500000.0,11776000250.0,45741346750.0,87420350750.0,91757052750.0,113530965000.0
