Country,2000-2003,2004-2006,2007-2009,2010-2012,2013-2015,2016-2018,2019-2021
Eritrea,16.55,44.02,25.02,25.45,27.88,19.3,26.82
Nigeria,8.2,9.01,9.97,12.12,21.04,15.18,17.5
Guatemala,7.2,10.58,12.12,13.79,10.49,7.33,8.57
Ecuador,3.74,3.87,1.48,0.77,0.98,1.1,2.04
Tuvalu,18.02,23.35,24.92,49.62,107.26,142.46,288.75
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,0.19,0.34,0.43,0.36,0.18,0.01,0.0
Lesotho,5.61,12.16,32.58,51.61,76.4,79.7,108.18
Malta,,,,,,1.0,0.0
Slovenia,,,,,,,9.0
Belarus,0.5,0.33,1.67,3.67,3.67,3.33,3.0
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia,,,,,,,0.0
Lithuania,0.5,0.67,1.0,2.33,3.0,5.0,14.67
Solomon Islands,18.01,36.61,43.78,39.28,38.39,23.62,27.78
Bosnia and Herzegovina,9.75,2.0,4.33,17.67,11.0,4.33,18.0
Maldives,3.0,5.67,6.67,8.0,8.67,11.33,111.0
"Bolivia, Plurinational State of",12.16,14.68,10.98,11.97,12.58,12.64,11.8
Botswana,85.77,68.23,87.36,37.77,66.62,74.1,67.0
Honduras,8.2,17.94,22.46,23.18,19.19,15.18,22.11
"Korea, Republic of",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Kitts and Nevis,0.0,2.79,24.55,13.26,1.0,0.0,0.0
"Micronesia, Federated States of",135.87,252.71,229.66,277.01,246.56,270.89,262.91
"Venezuela, Bolivarian Republic of",,,,,,,0.23
United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,6.97,16.2,24.6,27.49,22.36,21.05,24.06
Mozambique,5.1,15.83,24.13,34.28,42.16,62.76,62.41
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
