Country,1971-1980,1981-1987,1988-1994,1995-2001,2002-2008
Egypt,0.0,0.0,0.0,8.14,0.0
Spain,50.0,5.71,0.0,4.29,2163.71
Albania,0.0,9.71,0.0,0.0,0.43
Mexico,0.0,0.0,69.0,74.57,12.86
Hong Kong,0.0,1.43,0.0,0.0,0.0
Sweden,0.0,0.0,0.0,0.0,0.0
"Moldova, Republic of",0.0,0.0,0.0,0.0,1.86
Italy,0.0,0.0,0.0,1.43,2872.14
Portugal,0.0,0.0,0.0,0.0,391.0
yug,0.0,0.0,5.43,0.0,0.0
Guatemala,0.0,0.0,0.0,0.0,0.86
Jordan,0.0,0.0,2.14,0.0,0.0
Estonia,0.0,0.0,0.0,0.0,0.43
Kazakhstan,0.0,0.0,0.0,0.43,0.0
Canada,0.0,0.0,0.0,0.0,0.0
Croatia,0.0,0.0,0.0,5.71,113.29
Russian Federation,0.0,0.0,11.86,211.29,51.14
China,0.0,0.29,14.86,5.71,27.29
Bangladesh,0.0,0.0,71.14,75.43,163.57
France,0.0,0.0,3.57,3.29,2983.71
Slovakia,0.0,0.0,0.0,0.0,0.14
scg,0.0,0.0,0.0,0.43,0.43
Paraguay,0.0,0.0,0.0,1.14,0.0
Czechia,0.0,0.0,0.0,0.0,61.86
"Bolivia, Plurinational State of",0.0,0.0,0.0,2.14,0.0
Cyprus,0.0,0.0,0.0,8.14,0.57
