Country,1991-1994,1995-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019
North Macedonia,7.4,11.27,18.35,16.4,16.22,16.32,14.36,12.07,9.71
Cyprus,9.12,7.95,6.8,6.49,3.76,3.12,2.29,1.65,0.85
Canada,0.87,0.7,0.4,0.29,0.22,0.17,0.14,0.15,0.15
Madagascar,40.96,45.66,48.86,52.36,55.98,61.1,61.24,59.13,54.21
Denmark,3.47,2.19,1.74,1.42,1.13,0.59,0.36,0.39,0.47
Uruguay,3.12,2.76,2.46,2.41,2.91,2.46,1.92,1.37,1.15
Lao People's Democratic Republic,37.81,39.19,42.23,43.96,44.82,45.05,42.69,38.71,34.66
Saudi Arabia,0.27,0.19,0.14,0.11,0.09,0.07,0.05,0.03,0.03
Morocco,58.7,56.33,55.99,53.97,54.49,49.19,48.39,45.97,37.82
Singapore,2.06,2.13,2.14,1.54,1.23,0.99,1.01,0.71,0.59
"Palestine, State of",42.79,40.73,32.48,31.68,32.84,21.58,22.79,16.11,8.97
Yemen,46.23,43.35,40.1,39.74,39.59,38.53,38.45,36.15,32.83
Lebanon,4.84,4.57,4.25,4.09,5.31,4.28,2.79,1.98,1.31
Israel,1.29,1.02,0.79,0.64,0.47,0.3,0.22,0.17,0.08
Sierra Leone,13.08,13.18,13.12,11.61,10.46,10.57,7.71,8.29,8.77
Netherlands,2.99,2.12,1.54,0.97,1.01,0.93,0.88,0.79,0.56
