Country,1950-1980,1981-2010,2011-2040,2041-2070,2071-2100
Saint Vincent and the Grenadines,45768.94,55077.6,51775.47,50160.4,41859.8
Guinea,1967655.65,3808056.23,7637840.03,12708142.1,16377705.4
Lebanon,1069719.0,2017517.47,2664100.37,2483920.83,2409707.8
Azerbaijan,2489012.48,4062809.77,5284059.9,5367343.0,4555956.8
Haiti,2215157.65,3905384.23,6088111.73,7895920.63,8454986.9
Kazakhstan,5508010.74,8277635.1,10420053.77,13582419.83,16180135.07
"Taiwan, Province of China",6288649.39,10338248.33,12036323.63,11034426.6,8621018.47
Hungary,5229677.03,5374082.2,5038461.3,4385304.17,3710046.93
Equatorial Guinea,140136.32,306002.2,859169.0,1452361.33,1851798.83
Sudan,5094745.77,12102728.67,25797694.6,46296278.5,65340375.97
Denmark,2391636.61,2669396.1,2998138.87,3257354.0,3455139.2
Bosnia and Herzegovina,1803106.65,2121329.77,1646207.97,1316664.3,992743.87
Trinidad and Tobago,456301.55,654712.43,772290.9,742854.93,606938.13
Antigua and Barbuda,30609.0,37629.77,49504.33,49967.4,42608.1
American Samoa,11896.48,24736.3,22283.3,16111.0,9703.57
