Country,2005-2007,2008-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020
Czechia,89.45,88.69,86.99,86.97,87.09,87.48,87.64
Myanmar,,,,,44.84,44.4,41.22
Albania,74.37,76.92,73.65,79.54,79.27,80.0,81.29
"Moldova, Republic of",92.59,93.29,93.28,86.6,92.91,92.98,94.5
Belize,,,,71.34,68.83,68.44,65.32
Malawi,,,,23.63,,,
Bhutan,,,52.81,,,,
Bermuda,,91.47,,,,,
Slovenia,95.06,94.64,93.46,92.71,92.57,92.04,92.87
Côte d'Ivoire,,,16.22,20.82,20.34,20.01,
Samoa,,,84.01,,,78.66,
Ireland,93.64,93.0,92.86,92.44,92.4,92.86,92.63
Bulgaria,93.34,93.06,93.28,92.96,92.91,92.76,93.07
Germany,91.39,92.03,92.1,92.39,92.65,92.9,93.41
Norway,96.12,96.03,96.4,96.07,95.92,96.06,96.37
French Polynesia,,,,,,,
Hungary,91.34,91.76,92.09,92.75,92.64,92.6,91.79
Colombia,54.92,51.0,48.68,50.93,52.52,53.41,53.02
Morocco,,,78.98,,,,
United States,94.42,94.7,94.73,94.79,95.07,95.03,94.97
Mexico,66.68,66.84,66.83,68.03,68.32,69.27,69.8
Armenia,92.42,92.93,93.38,91.73,92.78,92.41,91.95
