Country,1968-1974,1975-1981,1982-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
"Congo, The Democratic Republic of the",,,,,88.88,92.89,88.14,85.29,76.32
Bangladesh,95.49,96.55,87.09,85.72,83.81,79.35,79.48,76.36,73.88
Mauritius,,81.18,77.46,74.39,75.11,75.02,84.25,86.97,87.27
Syrian Arab Republic,88.71,88.32,89.53,87.85,80.99,74.22,81.55,115.44,117.98
Suriname,,,,,,,49.93,,
Guinea,,,56.54,55.34,57.35,56.67,97.53,99.05,85.14
United Arab Emirates,,,,,,68.52,59.24,45.63,51.87
Kuwait,41.91,42.81,69.76,99.05,77.13,63.11,44.26,55.23,64.1
France,71.7,75.19,78.7,77.16,77.5,76.85,78.02,78.22,77.2
Australia,68.57,73.87,75.31,74.64,75.67,75.84,73.57,74.49,73.0
Greece,72.22,74.82,79.36,83.33,84.91,84.75,88.45,89.95,89.71
Czechia,,,,70.7,69.87,69.85,67.75,67.39,66.68
Guyana,78.29,81.5,82.38,80.06,80.28,91.6,,,
Cyprus,,87.07,78.43,79.06,76.41,77.97,82.35,83.41,78.81
Paraguay,85.37,78.07,80.28,68.53,74.37,69.7,72.83,75.05,76.58
Sudan,88.65,93.04,94.55,88.93,91.52,68.72,66.42,89.63,96.11
Guinea-Bissau,107.7,105.1,104.44,96.07,102.74,98.58,101.3,91.3,84.21
Sweden,71.47,75.4,74.69,74.74,73.75,71.98,70.96,72.42,69.98
Dominica,,,,,,,101.08,99.77,115.12
Burkina Faso,90.59,94.91,97.45,93.62,90.85,99.1,91.34,85.38,82.43
Croatia,,,,,87.69,83.94,81.18,81.2,79.65
