Country,1971-1976,1977-1982,1983-1988,1989-1994,1995-2000,2001-2006,2007-2012,2013-2018,2019-2023
Greece,5.47,4.09,1.48,2.17,3.26,3.91,-2.55,-0.4,1.92
Bermuda,,,,,,,,-0.49,-0.79
Belgium,4.65,2.19,1.6,1.92,2.07,1.3,1.52,1.26,1.44
Latvia,,,,,2.93,8.4,-1.03,2.97,2.32
Syrian Arab Republic,12.41,5.05,6.21,0.36,2.52,5.36,3.78,-16.67,7.13
Viet Nam,,,,,5.26,7.01,6.52,6.57,4.22
Poland,,,,,5.38,3.17,3.25,3.4,2.54
"Tanzania, United Republic of",,,,0.86,4.95,6.68,4.53,4.55,3.1
Tajikistan,,,,-34.86,4.13,6.16,4.55,2.14,6.7
Paraguay,5.78,8.56,3.01,4.48,0.62,2.97,5.03,4.18,1.99
Egypt,3.53,1.55,5.4,4.06,4.22,3.56,5.53,3.53,4.25
kos,,,,,,,4.0,3.4,4.66
Puerto Rico,17.52,-4.91,4.64,2.52,5.01,3.11,0.17,-0.14,5.73
Czechia,,,,-2.23,2.35,3.33,0.87,2.73,0.1
Serbia,,,,,2.22,6.28,1.2,0.7,2.68
Slovakia,,,,1.0,3.28,4.55,2.16,2.58,1.17
Afghanistan,,,,,,,,,-12.36
Cuba,5.45,6.72,2.88,-5.45,2.66,5.87,2.28,3.05,-1.08
Dominican Republic,5.69,5.39,3.98,3.34,5.05,4.69,4.9,4.85,3.13
Brazil,9.76,3.55,2.71,2.23,2.59,2.62,4.73,0.43,1.44
Ireland,4.33,2.99,1.8,3.07,7.13,4.8,-0.05,2.94,3.43
Pakistan,,,7.1,3.49,4.23,5.34,2.76,5.58,3.91
Saudi Arabia,,,,,,5.49,7.12,3.97,3.42
Bahamas,,,,-1.39,7.83,1.66,-2.73,2.14,1.57
Costa Rica,4.2,0.99,4.17,5.0,2.53,3.88,5.2,3.46,2.34
Türkiye,,,0.91,3.37,4.79,4.19,4.64,4.66,9.17
