Country,1975-1984,1985-1994,1995-2004,2005-2014,2015-2023
Sierra Leone,2259923206.12,1929442713.27,1953743145.54,3673580588.87,6727553798.96
"Korea, Republic of",142753227920.71,301747190973.98,551650020668.42,804778361602.28,1038843325034.04
Cabo Verde,,,,1307092749.31,1772545167.43
Eswatini,1053539593.35,1003351352.81,1972768324.45,3125667214.75,3730651910.31
Türkiye,,229490085586.68,317697779096.75,489658061379.14,796899173919.75
Comoros,458692728.95,543890973.28,649252530.07,868490133.74,1135569723.25
Central African Republic,,,,2292046106.18,2244661226.25
kos,,,,5442912339.83,7274471062.42
Lebanon,,16717256135.37,25995283320.58,39170431490.13,46692173327.11
Morocco,22256823331.33,34613480201.82,45987453943.99,69425774269.91,92613409432.71
El Salvador,12244500017.93,12625511011.22,17951851185.41,21771784586.87,25172242055.62
Dominican Republic,12453909052.99,18197776178.29,27568891067.9,45146493239.04,68100865289.36
Tonga,,,,482168971.45,579862470.22
Pakistan,,102962447737.81,150561133851.93,228988512404.36,345618102385.95
Niger,,3745392082.48,4387023444.59,6221838654.23,10392597051.04
