Country,2000-2004,2005-2009,2010-2014,2015-2018,2019-2022
Guinea,,524739820975.0,424648059920.0,694405857350.0,974067306825.0
Libya,,983950000.0,734460000.0,457975000.0,
Ethiopia,,,,17037809000.0,25507128000.0
Dominica,7646000.0,8856000.0,14938000.0,20382500.0,24280000.0
Belize,,,,,
Solomon Islands,27000000.0,90300000.0,155260000.0,222600000.0,245125000.0
Saint Lucia,,,,0.0,0.0
Grenada,20719400.0,23981300.0,24466000.0,26850000.0,27920000.0
Sint Maarten (Dutch part),,,36877900.0,34609275.0,34592233.33
Comoros,,2140666666.67,3014188800.0,2371945625.0,2877108200.0
"Micronesia, Federated States of",3327140.0,3375160.0,3245400.0,3809300.0,4574000.0
Vanuatu,1574000000.0,2256600000.0,2741000000.0,2566750000.0,
Palau,5253180.86,5815664.94,4061703.71,4042606.45,4255248.41
Ecuador,,,,,
Antigua and Barbuda,131076000.0,128564000.0,33653333.33,,
