Country,1960-1968,1969-1977,1978-1986,1987-1995,1996-2004,2005-2013,2014-2022
Singapore,46564.11,156460.22,640484.33,1128101.44,1829925.67,1926155.56,1957077.78
"Moldova, Republic of",23833.33,84079.0,257805.67,476484.11,669997.56,1116553.56,1099405.33
Andorra,500.0,2521.56,10312.78,23262.22,33705.56,37536.11,42497.22
Bosnia and Herzegovina,,,,421960.75,632849.89,980859.44,743884.0
Kyrgyzstan,,89016.0,172231.0,318449.22,378185.67,479477.44,352956.62
Egypt,220503.0,303667.0,608294.5,1840696.11,5923176.78,9812063.44,8265455.56
Australia,1761094.22,2964000.0,5323839.22,7967527.78,9906666.67,10213111.11,7512460.78
Romania,306000.0,608888.89,1732679.44,2503075.33,3873615.33,4558555.56,3524777.78
"Micronesia, Federated States of",,,1176.25,3853.33,9843.22,9195.89,6951.86
Myanmar,14197.78,22100.0,40932.71,96325.11,285256.0,507137.44,526359.11
Chile,145668.33,253111.11,429204.44,1108960.56,3093883.44,3428128.67,2943563.44
Kiribati,,,589.17,1395.22,3404.22,6150.56,571.78
Philippines,83000.0,213333.33,460507.89,778391.0,2857104.67,3627778.89,4104339.0
Lesotho,755.56,1509.56,5039.67,13124.0,24832.33,45353.0,21248.11
Iceland,38496.0,61947.89,92130.11,134535.67,182748.44,187946.89,132443.56
Portugal,234942.78,620206.56,1169402.44,2684415.67,4194165.22,4364930.56,5002415.56
Canada,5112611.33,7072333.33,10799918.22,15662164.33,20007888.89,18104336.22,13945932.33
Papua New Guinea,4263.0,12273.67,26114.22,35102.67,59159.89,97040.33,157871.43
