Country,1976-1981,1982-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017,2018-2022
Tunisia,-62960.85,-765512.23,2689309.8,5009906.21,8636950.8,15025551.8,45606680.0,74700482.0,15611680.34
Malawi,0.0,0.0,0.0,1400019.5,1779919.2,5143331.89,11184725.04,-4983533.91,-33653465.77
kos,,,,,,5079077.56,25732678.8,42741028.54,99866366.45
Chad,157547.89,1483656.37,10144372.13,2249682.09,-1225284.0,,,,
Mauritius,-650734.43,0.0,11102560.56,8748491.25,8932494.34,28379696.95,111425345.78,105240185.6,55454930.6
Netherlands,4250540378.99,4566430180.64,12260934943.98,20831848022.65,50235286549.43,316566802033.47,242783291675.93,297999008694.88,-88084654827.89
Ethiopia,0.0,0.0,0.0,,,,,,
Cambodia,,,,,-51086524.04,6251774.35,25057464.24,85205087.8,119143590.99
El Salvador,,,,7195888.06,3350000.0,39530000.0,12594323.47,22137433.24,76295811.25
Papua New Guinea,4055341.51,-4142950.53,4383018.73,-6440355.68,710621.85,43123988.64,99724227.2,144118999.03,463318630.82
Malta,0.0,0.0,8486512.65,89096740.18,36414934.94,9252818200.51,151827136.43,-7530010778.18,-6630961896.44
Turks and Caicos Islands,,,,,,,,6405750.0,-51542000.0
Gabon,13470648.61,5369044.04,17427019.63,117438717.93,123309795.31,21990917.26,285737283.25,138895051.19,-48353722.0
Kazakhstan,,,,435250.0,96987252.0,1148015482.0,3731508481.48,2471583216.66,-1182906652.5
Malaysia,82344502.03,233583503.62,178081109.02,2464600000.0,1294494736.84,5262535498.09,14499099079.37,11143151196.51,8026627990.54
Dominica,0.0,0.0,0.0,,-209859.65,-435567.42,-1405059.38,-1802537.35,266073.37
nld_curacao,,,,,,,-8557262.57,-12206703.91,8109485.6
United Arab Emirates,500000.0,-394155.27,8256775.88,205994467.6,304578253.4,6481789339.6,5054442197.8,13405436775.0,20524389848.4
Gambia,0.0,0.0,0.0,,,,-22755796.43,-5463471.67,-2036373.55
Senegal,3878118.96,2468564.87,9001208.67,4700426.52,18790378.88,76649579.78,76466103.28,79686036.29,91361536.2
Azerbaijan,,,,1951630.0,387900500.0,4688969600.0,3667140600.0,2362463929.62,1053414200.0
"Virgin Islands, British",,,488337585.3,3353076298.0,18814527234.2,24768544400.0,48121546428.8,57861742643.4,42809379604.2
Switzerland,,1787606756.01,6926112172.89,13132589010.4,26389242445.46,51174856622.53,49344810863.29,77522614169.54,-41550314289.12
Tuvalu,,,,,,,,481804.5,-944679.11
Cabo Verde,0.0,0.0,603743.45,393295.73,-8627.44,239798.61,2314704.62,10603215.45,9334023.57
