Country,1990-1996,1997-2002,2003-2008,2009-2014,2015-2020
Pakistan,4844131.0,4537936.5,4281618.5,4046978.83,3829250.0
Timor-Leste,958900.0,949800.0,941400.0,933000.0,924600.0
Martinique,48110.0,48727.5,49592.5,50597.5,51790.0
France,23721297.43,24130312.72,24351739.17,24488529.98,23402854.25
Sweden,28087972.61,28071747.08,28069570.3,28094902.05,28109554.93
Togo,1333701.2,1276303.9,1252187.3,1234429.9,1216670.0
Netherlands,364299.44,367985.62,371686.72,373749.82,364599.03
Bulgaria,3655075.89,3702781.32,3770526.25,3843495.25,3907486.25
ant,3590.0,3590.0,3590.0,3590.0,3590.0
Anguilla,5500.0,5500.0,5500.0,5500.0,5500.0
Western Sahara,666363.0,668679.0,667000.0,665043.33,664885.0
Eritrea,1135840.0,1120040.0,1101080.0,1082120.0,1063160.0
Benin,4625150.0,4180150.0,3860150.0,3560150.0,3260150.0
Canada,226740153.94,226483474.7,226220446.67,225967862.05,245907688.27
San Marino,1000.0,1000.0,1000.0,1000.0,1000.0
American Samoa,17968.0,17749.0,17565.0,17385.0,17205.0
United Arab Emirates,264329.0,303380.5,313758.5,317168.83,317300.0
Antigua and Barbuda,9912.0,9482.5,9081.5,8681.17,8285.0
Djibouti,5600.0,5600.0,5600.0,5600.0,5700.0
Guinea,7171900.0,6945700.0,6731000.0,6515000.0,6289000.0
Mozambique,42721000.0,41296207.0,39969277.0,38665024.33,37341880.0
Slovenia,1086296.56,1171580.35,1207625.0,1206630.0,1212763.33
Gibraltar,0.0,0.0,0.0,0.0,0.0
