Country,1970-1978,1979-1987,1988-1996,1997-2005,2006-2013,2014-2021
Czechia,,,0.23,0.26,0.17,0.24
Thailand,1.51,0.89,0.35,0.4,0.55,0.44
Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,,,0.01,0.02,0.0,0.01
"Palestine, State of",,,0.0,0.0,0.0,0.0
"Virgin Islands, U.S.",,,,0.0,0.0,0.0
Belize,1.06,1.01,0.51,0.25,0.28,0.32
Tuvalu,,,0.0,0.0,0.0,0.0
South Africa,0.7,0.84,0.89,0.81,0.6,0.64
Maldives,,0.06,0.02,0.01,0.01,0.0
"Micronesia, Federated States of",,0.0,0.01,0.01,0.03,0.03
Cyprus,0.26,0.07,0.02,0.0,0.0,0.0
Ukraine,,0.0,0.05,0.29,0.23,0.31
Estonia,,,1.68,1.58,0.72,0.9
Burkina Faso,7.95,7.82,8.33,6.96,7.28,6.68
Sao Tome and Principe,,,,3.2,3.54,2.64
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,0.75,0.62,0.44,0.19,0.15,0.09
Germany,0.08,0.07,0.04,0.03,0.04,0.03
Zambia,2.08,3.88,5.24,7.91,6.0,7.01
Hong Kong,0.01,0.0,0.0,0.0,0.0,0.0
kos,,,,,0.0,0.0
Benin,7.74,7.12,6.92,4.25,3.55,3.24
Saint Lucia,,0.03,0.01,0.01,0.01,0.02
