Country,1971-1978,1979-1986,1987-1993,1994-2000,2001-2007,2008-2014
United Kingdom,95.73,93.5,90.2,87.46,88.6,86.1
Palau,,,0.0,,,
Zimbabwe,37.36,34.19,45.43,41.11,30.91,26.48
Jamaica,89.61,88.31,84.41,85.26,89.09,82.38
Montenegro,,,,,54.64,61.17
Paraguay,17.81,21.53,21.91,29.62,30.11,32.58
Singapore,99.83,99.75,98.98,98.98,98.29,96.07
Kazakhstan,,,97.46,97.27,98.47,98.99
Serbia,,,89.3,86.94,88.58,87.65
Cameroon,10.92,17.75,18.11,16.02,17.99,32.68
Sao Tome and Principe,,,0.0,,0.0,
France,89.21,73.76,57.87,53.61,52.46,49.14
Romania,96.51,96.72,95.66,88.42,85.25,75.94
Saint Vincent and the Grenadines,,,0.0,,0.0,
"Korea, Democratic People's Republic of",92.86,94.32,92.96,89.81,89.73,67.62
Antigua and Barbuda,,,0.0,,0.0,
