Country,1960-1967,1968-1974,1975-1981,1982-1988,1989-1995,1996-2002,2003-2009,2010-2016,2017-2023
Kuwait,,21669.09,12061.9,6573.14,8593.95,10985.97,13361.65,10786.99,9219.16
"Moldova, Republic of",,,,,45076.33,26572.07,37155.37,48566.99,64348.61
Palau,,11981.56,11743.56,12012.13,12827.91,12757.71,13261.79,14329.02,13913.09
Belize,3353.21,4174.92,5649.69,6183.35,9317.01,10625.13,12518.65,11838.58,11590.56
Angola,,,47761.74,45184.92,35708.92,34737.07,48182.54,57045.36,45886.77
Türkiye,4847.1,6073.57,7275.09,8096.17,9587.12,11089.04,13719.82,17813.65,22967.6
Peru,7888.42,8889.89,9604.83,8905.18,7178.06,8320.84,10527.46,14822.82,16224.32
Latvia,,,,,5235.16,5797.67,10008.47,11435.02,14410.0
Ethiopia,5586.55,6253.81,6467.26,6407.72,5481.47,5780.01,7355.41,12262.22,17873.44
Sint Maarten (Dutch part),,,,,,,67145.03,69820.4,59498.65
Myanmar,162094.65,169001.41,199973.12,234930.15,222473.41,338521.69,715907.51,1248523.78,1536332.01
Japan,1056764.31,1790621.8,2194813.21,2775661.74,3514832.15,3770980.08,3980172.5,4120708.89,4352021.84
Haiti,68282.62,67146.18,80455.12,76260.08,60953.58,55312.75,55428.95,57510.93,55574.53
Brazil,6303.47,9032.35,13172.77,13946.3,14180.52,15249.39,17335.87,20287.72,19663.79
Somalia,12200015.16,11572529.51,11465974.61,9618250.36,10378956.28,9541936.43,11966196.06,14990790.54,16397362.62
