Country,1960-1967,1968-1975,1976-1983,1984-1991,1992-1999,2000-2007,2008-2015,2016-2023
Ukraine,,,,1456.84,994.79,1545.77,3363.88,3740.12
Botswana,75.37,272.92,872.25,1880.83,2995.08,4272.84,6118.75,6856.38
Lebanon,,,,949.61,3064.49,4483.07,7617.55,6489.23
Thailand,132.75,246.61,633.71,1148.87,2363.94,2642.26,5274.49,6900.2
United Arab Emirates,,11498.88,36589.07,25578.18,26699.64,36632.51,41605.22,45607.91
Yemen,,,,1000.35,857.77,679.9,1328.35,725.18
Azerbaijan,,,,986.61,348.99,1494.15,6540.1,5267.13
Nauru,,3839.72,6036.31,5256.54,3720.38,2516.42,6764.09,10942.31
Sudan,110.64,177.17,406.07,756.68,366.86,793.67,1314.61,1043.51
Argentina,,,3727.05,3762.87,7559.23,5399.31,11585.42,11961.87
Tuvalu,,548.79,543.7,747.6,1308.0,2078.29,3326.22,4763.89
Kyrgyzstan,,,,592.41,384.14,433.12,1087.85,1431.9
Kiribati,,610.62,614.21,473.97,864.44,1013.78,1633.35,1926.73
Türkiye,358.85,666.89,1522.55,1884.07,3208.74,5855.06,11160.83,10311.51
Comoros,,,573.89,780.67,806.46,963.11,1473.28,1497.89
Greenland,,2686.69,7512.99,13829.9,19573.89,28268.1,46119.38,53101.87
Iceland,2231.79,4154.39,12095.07,20281.77,27537.75,45499.77,49065.66,69890.57
United States,3563.41,6049.47,12101.57,20871.66,29623.49,41393.99,51502.54,67699.14
Iraq,256.61,549.42,2498.85,3772.19,593.86,1732.93,5255.2,5159.83
Myanmar,20.86,26.09,33.74,44.18,118.02,237.22,1054.84,1279.44
Vanuatu,,,970.46,1074.61,1412.49,1663.39,2760.47,3041.78
Togo,130.35,225.18,425.7,471.34,454.8,519.97,784.48,888.18
Slovenia,,,,8571.13,9657.83,15766.27,24041.33,26606.36
