Country,1961-1966,1967-1972,1973-1978,1979-1983,1984-1988,1989-1993,1994-1998,1999-2003,2004-2008,2009-2013,2014-2018,2019-2023
Bahrain,,1.71,4.64,-4.04,0.15,3.51,-0.09,1.34,-0.39,1.01,0.01,1.51
Comoros,,,,2.22,-0.24,-0.93,-1.67,1.85,0.43,1.6,0.68,-0.12
Eritrea,,,,,,10.0,5.22,-1.46,-3.49,2.67,,
Netherlands,3.66,4.17,2.32,0.08,2.21,2.08,3.16,1.72,2.41,-0.82,1.66,0.99
Guyana,0.93,1.28,1.36,-3.97,-0.75,3.09,4.94,0.77,2.91,4.56,1.85,32.21
Tonga,,,,3.29,2.11,1.43,3.18,2.49,0.03,0.68,3.04,-1.26
Suriname,4.88,1.92,5.21,-1.95,-0.67,-1.76,0.67,1.03,4.39,2.8,-1.33,-3.48
Guam,,,,,,,,0.37,1.68,1.04,0.38,-0.67
Ukraine,,,,,2.11,-7.3,-9.27,6.88,7.29,-0.75,-0.93,-3.02
United Arab Emirates,,20.16,8.48,-1.52,-8.56,1.41,-0.03,-0.19,-5.76,-2.31,2.81,1.53
Hong Kong,8.0,5.0,6.36,5.06,7.63,3.86,0.27,2.51,5.64,2.14,2.03,-0.67
Congo,0.31,3.54,0.91,12.39,-2.65,-1.29,-1.3,-0.28,0.17,3.1,-4.22,-2.43
Sao Tome and Principe,,1.72,4.36,-1.23,-2.85,-1.45,0.09,1.57,3.19,0.77,2.23,-0.63
Bermuda,4.31,3.99,3.92,0.97,1.73,-0.22,2.52,3.57,1.59,-3.41,0.27,1.46
Gabon,6.21,5.48,8.86,-0.5,-2.69,1.36,1.69,-3.88,-2.3,1.47,-0.55,-0.37
New Zealand,3.07,0.8,0.33,2.01,1.42,-0.32,1.93,3.1,1.26,0.89,1.61,0.7
Honduras,2.16,1.39,2.75,-2.28,2.15,0.11,0.49,0.81,3.39,0.37,2.07,1.18
