Country,1990-1994,1995-1998,1999-2002,2003-2006,2007-2010,2011-2014
Portugal,15.98,14.93,14.51,14.63,15.89,16.95
Jamaica,7.86,7.42,6.78,7.09,8.4,9.55
Timor-Leste,,,,51.81,53.63,
Ghana,8.22,8.21,10.17,13.56,15.51,16.94
Zambia,3.35,3.35,3.59,4.05,5.08,5.63
Bosnia and Herzegovina,2.92,8.93,8.29,8.18,7.84,6.83
North Macedonia,9.31,7.91,9.16,9.4,10.83,12.13
Argentina,13.27,14.03,13.29,13.1,14.41,14.82
Honduras,9.13,8.9,9.71,9.39,9.59,9.52
Lebanon,11.26,9.66,9.89,11.69,13.88,13.19
"Moldova, Republic of",4.42,4.47,5.77,6.62,7.94,9.34
Malaysia,9.1,9.27,8.71,8.4,8.61,9.19
Nigeria,5.11,4.87,4.98,5.94,7.04,7.7
Finland,6.41,6.59,7.4,7.56,8.36,8.66
Congo,26.83,29.26,32.02,25.86,22.98,16.99
Ukraine,4.33,3.48,3.98,5.12,6.31,6.84
Kuwait,8.63,7.08,5.95,6.63,6.44,6.04
Suriname,,,13.79,16.9,18.84,19.1
Oman,13.04,13.6,13.17,10.18,7.45,6.39
Belgium,8.63,8.46,9.18,9.82,10.62,11.73
Eswatini,15.24,,,18.8,19.84,
Algeria,12.61,13.1,13.3,13.7,12.94,12.08
Philippines,9.64,9.48,9.84,11.92,14.33,15.73
Jordan,8.52,8.66,9.26,9.21,10.47,11.1
Bulgaria,5.18,5.16,5.63,6.73,8.55,9.2
