Country,1801-1837,1838-1874,1875-1911,1912-1947,1948-1983,1984-2019
Italy,0.16,0.56,1.29,1.39,4.15,1.28
Guinea-Bissau,0.03,0.07,0.07,0.07,2.16,-0.23
"Micronesia, Federated States of",0.05,0.05,0.05,1.87,2.32,1.19
"Congo, The Democratic Republic of the",0.16,0.16,0.16,1.26,0.19,-1.08
Israel,0.28,0.58,0.58,2.4,4.32,1.82
"Taiwan, Province of China",0.0,0.04,0.82,0.02,7.33,3.99
gbg,0.63,1.17,1.17,3.09,3.21,2.84
"Korea, Democratic People's Republic of",-0.12,-0.12,0.03,0.51,3.06,-1.34
Panama,0.51,1.12,1.12,1.17,2.55,2.99
Liechtenstein,0.63,1.17,1.17,3.68,2.96,2.93
Puerto Rico,0.24,0.53,0.53,2.1,3.89,2.11
Russian Federation,0.35,0.63,1.4,2.19,3.37,1.27
Argentina,0.65,1.41,2.96,1.01,1.13,1.78
Solomon Islands,0.16,0.34,0.34,1.61,1.92,1.02
Anguilla,0.3,0.66,0.66,2.35,2.56,3.34
