Country,1995-1997,1998-2000,2001-2003,2004-2006,2007-2009,2010-2012,2013-2015,2016-2018,2019-2021,2022-2023
Guinea,,,,6042386197.3,6569367497.47,7321455520.56,8200453752.13,10436725425.77,11447161417.61,12563366111.23
Burkina Faso,4039652389.2,4927932930.15,5706112576.46,6869147135.56,8022004413.25,9390632337.06,10936218997.98,12835267707.77,14889441786.67,
Saudi Arabia,,,,,,,690847733333.33,,,
Ethiopia,,,,,,45975819970.15,58539607368.89,76591311209.15,94506462161.62,108826194865.66
United States,11444777024000.0,13253826849333.34,14290970240333.33,15630405293000.0,16013777929000.0,16726731442000.0,18029390900000.0,19390372047333.33,20553763147666.67,21696963039000.0
Sudan,,,,,,,50563738020.2,,,
Bahamas,9527771161.95,9765018519.68,10667921933.41,11135949659.88,11325436041.39,11156503099.79,11107575758.38,11243271337.23,10278938587.42,11486412816.85
Cambodia,4305089077.92,5240848111.62,6640396799.62,8863177603.84,11340406884.88,13140637165.44,15955236132.33,19595870180.94,22238917391.03,24519848449.06
Somalia,,,,,,,6955707895.1,,,
Mali,5138606447.57,6077230982.65,7260271094.54,8467361871.51,9615546889.47,10777863692.67,11988500339.13,14161717958.19,15361582888.03,16546770624.37
nld_curacao,,,,,,,3014589273.74,,,
Argentina,364335078422.17,392707847199.94,346484352594.79,399216346604.15,502207685313.57,556083651951.33,577186351363.39,571284495344.05,535891394372.99,581058186373.22
Aruba,,,,,,,2838143910.61,,,
Indonesia,,,,,,678942632266.1,794429462515.83,921309747599.79,1017644094072.42,1117948246034.37
Egypt,144375738828.72,170497373294.9,191794927145.5,215679906530.02,262004118121.79,287280749257.0,310092826424.36,352964906368.02,399394583030.06,444753690804.24
Benin,5014233239.24,5867691035.92,6792831849.73,7556877203.33,8607238340.56,9383920410.61,10965428806.55,12365944954.11,14769034967.55,17171815934.27
Libya,,,,,,67524677842.98,54502644891.88,60949712161.9,53551639214.18,69701087077.74
Sierra Leone,,,2072909626.38,2505981539.95,3399241801.46,3700943520.89,4852021162.6,4634753562.53,5025667975.37,
Burundi,1878502855.0,1968831951.77,2012181451.09,2173405107.3,2469520671.29,2817640443.36,3142012808.05,3114861479.85,3262504219.95,3438223110.47
Mauritania,3340037257.96,3491234548.5,3533830790.09,4339327876.31,4808461109.36,5028938544.54,5678257438.83,6516496055.32,7041566902.18,7744733697.19
Cyprus,12227169843.69,14134648994.95,15783533189.08,17892901892.7,20610156315.7,21489260299.11,19282546637.2,21641892456.46,23431557064.0,25696003040.96
Guyana,,,,,,,4304540193.7,,,
Equatorial Guinea,,,,6697308276.72,9291200567.91,8143781849.21,9432440933.19,8572268373.55,7334332660.94,
Eswatini,2395086230.08,2524979817.24,2666141007.5,3065675749.54,3340377548.52,3426354585.64,3827559504.24,3921086780.73,4079391365.41,5228301707.49
Bahrain,,15019958569.81,15834502398.8,19247981394.48,22694379281.71,24154392912.74,28514631022.37,31344245393.28,31937122334.31,
Angola,,,33505892247.91,41792647527.72,57864814244.96,68560086790.25,82579522444.02,81775507201.47,75154999357.6,77292371652.9
El Salvador,16050937313.73,16989453304.85,17552707792.04,18480303079.79,19785945799.23,20643428528.08,21902862509.78,23247178329.36,23998960136.05,26131622257.46
Ghana,,,,27073151421.33,30525873075.14,38290773152.83,46466694617.95,52544674969.43,62359878470.31,67193507483.25
Denmark,219926158576.36,239954577029.86,253361452243.07,276843925711.9,284390295076.57,288600344458.97,305143488974.93,326944536464.32,348151214843.05,380970925470.76
Cuba,38064345828.14,42346624261.51,47403408745.88,57912714590.68,71058026189.4,76778736526.24,83316136480.16,88000005146.29,89627732013.53,
