Country,1960-1966,1967-1973,1974-1980,1981-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
Italy,19188354983.99,37787359634.4,125615551428.57,395341288714.29,740254364333.33,1051005583833.33,1369170233333.33,1604396450000.0,1658453300000.0,1865278183333.33
Montenegro,,,,,,800684033.33,1517490933.33,2911506933.33,3712979300.0,5331755633.33
Kyrgyzstan,,,,,2057796000.0,26399088750.0,78926930616.67,181280745883.33,398554905933.33,773243277272.24
Uruguay,36885.71,940557.14,30928771.43,505974714.29,22803430666.67,187999191616.67,326383802400.0,685165691116.67,1414075981533.33,2318065389762.16
Somalia,1551399314.29,2408227763.29,7701898104.0,73048428571.43,2209309129761.83,15001761024450.0,47987183843483.34,82112970456733.33,141388979054433.34,253133850667666.62
Puerto Rico,2300000000.0,4737742857.14,8545142857.14,14356242857.14,21998391833.33,31864135666.67,47450716216.67,62472221666.67,69077466666.67,73684016666.67
Bermuda,,,,,,,,6627484500.0,6918098166.67,7584928600.0
Sint Maarten (Dutch part),,,,,,,,1543143100.0,2198296316.67,2368532017.19
Tunisia,441199888.0,788328571.43,2252342857.14,5932514285.71,11023466666.67,20198516666.67,33501400000.0,54468662350.0,84908515650.0,125843324239.34
Colombia,45737472957.14,141633670619.0,796724941594.29,4366466839800.0,27844330044000.0,109026472892333.31,258747328643333.38,475241666666665.94,770798166666665.9,1194082258861853.0
Vanuatu,,,6978002950.0,11169451560.51,18749682785.9,27794130316.67,37197721500.0,57899088466.67,79318975333.33,125178779840.53
Estonia,,,,,611864306.54,3827590641.16,8046768166.67,14528652833.33,19965483333.33,30342280213.56
Mauritania,1018699635.44,1689238480.6,3546987532.86,6898841702.26,15008766604.83,31936995583.33,56008753400.0,133637139150.0,208798971327.09,320406548681.56
Lithuania,,,,,1163412379.12,9842736373.23,16129887500.0,28138151833.33,36171675000.0,54773453823.66
Denmark,61048519351.88,130482284428.57,300295499000.0,584778073571.43,838514416666.67,1096454358833.33,1428539500000.0,1789574333333.33,2080208333333.33,2591817832949.34
Côte d'Ivoire,185908294214.29,386517921214.29,1384730244828.57,2585920686371.43,2643139450183.33,5944771073583.33,7624597477050.0,10525150930216.67,22631844866133.33,38088895829916.66
Bulgaria,,,25382900.0,31485014.29,121811066.67,12162516016.67,36554373400.0,67194342966.67,87511558833.33,135496447516.86
Niger,140380759957.14,178656810828.57,341725985000.0,632988546057.14,839468504903.33,1351174751733.33,2030955603416.67,3519386259550.0,5822412792900.0,8320642622633.18
Czechia,,,,,942874139233.28,1840309533166.67,2706042500000.0,3638073333333.33,4225983000000.0,5888031959440.55
Greece,576829771.03,1256379104.23,4396881844.91,16853383307.88,52710036857.99,109876915518.05,171399029580.16,220733456666.67,179017854166.67,187814896291.69
Georgia,,,,,4075600.0,3827231450.0,8432111933.33,19195518166.67,32593828216.67,56371110683.33
Belarus,,,,,27283.25,73803083.33,3400799533.33,15220752033.33,79126416616.67,159498390924.17
South Africa,7684142857.14,15410571428.57,41654714285.71,125961571428.57,344385909800.0,722587775483.33,1396974730300.0,2636961204016.67,4196332632016.67,5938124619483.33
"Iran, Islamic Republic of",384718386509.05,966868356142.18,5099925994359.76,14096782505048.76,53169569442462.37,291670151590000.0,1219472317993333.2,4273985189340199.5,1.2377206034751534e+16,6.769473349489847e+16
