Country,1800-1841,1842-1883,1884-1925,1926-1967,1968-2009,2010-2050
Central African Republic,342.14,409.9,515.4,967.33,800.33,674.46
Eritrea,112.24,123.36,137.9,173.57,346.17,590.46
Zambia,224.26,248.21,281.02,399.33,686.43,1311.05
Qatar,615.57,739.14,1153.55,4693.21,48062.5,76598.07
Croatia,756.38,1055.98,1691.9,2245.62,9001.17,21366.56
Sri Lanka,228.02,292.5,458.86,514.1,998.88,5339.17
Hong Kong,874.88,1011.69,1678.36,3315.14,23539.38,64341.0
Burkina Faso,305.36,318.48,333.62,349.19,508.67,1024.68
Kuwait,680.17,816.55,1447.21,11245.26,38063.81,39538.17
Algeria,473.12,695.52,1106.98,2203.38,3903.43,4386.66
Uruguay,1069.5,1629.64,2106.5,3273.76,6187.4,20784.22
Equatorial Guinea,89.21,94.57,132.76,238.19,2138.98,6232.98
Uzbekistan,202.62,227.38,293.14,762.48,1310.31,2683.44
Peru,208.4,307.07,346.74,916.81,2295.29,8564.17
Comoros,442.74,462.12,481.6,527.14,1346.38,1583.63
Samoa,381.12,432.57,507.79,768.69,1566.71,4696.0
Haiti,154.71,226.6,342.76,412.43,707.93,1539.34
Myanmar,614.0,628.74,813.6,758.57,638.74,1739.46
Honduras,514.81,832.76,1297.5,1475.64,1979.29,2836.61
Morocco,414.52,504.17,651.69,1172.21,2013.79,4123.12
Canada,1586.43,2605.6,5568.48,11619.76,31441.05,55799.63
Togo,418.98,501.88,607.74,609.36,707.62,1189.63
Mozambique,336.19,344.48,352.21,318.67,409.95,705.44
Ukraine,162.4,207.93,291.26,777.64,2195.0,5278.32
Cameroon,407.88,496.69,670.02,1145.86,1687.55,2046.8
Iceland,754.95,1150.33,1953.64,6265.64,31587.17,79149.93
Philippines,360.62,379.48,520.81,807.38,1575.07,5431.9
