Country,1990-1993,1994-1996,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2023
Austria,162287459357.56,187548917297.52,210085482236.23,239844035620.5,274505953466.84,328553918353.02,356581262972.96,405702186475.95,453034077378.38,520939243928.21,629871198118.91
Maldives,987129891.66,1470020973.83,1991113085.04,2366147698.03,2976458840.74,3758220867.36,4149882897.21,5519645892.8,7681617727.57,8585851905.94,10381597821.36
Ecuador,49787475667.22,60620646146.77,67350026748.08,72861206122.46,90394193461.98,113903589663.45,135427687866.65,173416652607.72,181117497955.83,202999353977.39,261888598561.48
Haiti,15276035038.18,14819466156.95,17296195740.71,18870992619.47,20965590774.13,24632270966.74,27528518260.18,30596279132.15,34343639321.07,35393427267.47,37149618703.58
Estonia,9737036904.09,8986423434.8,11131515690.62,13841277659.39,19051412064.88,26987561503.22,28220368649.98,35082079399.41,40426624546.16,50486036480.88,62079593585.57
Mali,7635736994.11,9017114431.93,11127170846.1,13531706430.67,17520197225.66,21685203809.12,25754278390.37,29600327095.42,39053498202.99,46842222074.61,55498582632.39
Lesotho,2369737663.83,2751588271.48,3069679395.64,3719333325.32,4230371467.39,5051398906.28,5444049112.01,5953461344.45,6891917998.07,6789583916.1,7164304858.72
Saint Lucia,939628289.98,1097960647.49,1233991354.76,1405609819.16,1602026849.23,1965788758.12,2157337731.25,2331775678.88,2502962661.71,2881987733.09,3745145793.45
Antigua and Barbuda,827088377.09,1015688064.05,1223732652.09,1351263158.53,1613933917.49,2241264712.05,1984947611.99,1826216376.29,1798779205.17,2164967559.82,2602583705.0
Bhutan,924779872.53,1145469393.76,1380790198.19,2012130224.13,2640957448.19,3638541623.77,4720105116.25,5894039385.33,7561863690.03,8803701081.31,10494720019.27
United Arab Emirates,182765973235.21,228310443658.92,280171469524.16,342851722085.88,428368295530.79,568650989419.12,587577404771.15,664277577482.48,617758337913.41,681641773034.16,727552504106.33
Nauru,107543208.9,76137080.27,58503246.94,48611057.85,44697057.25,48331172.63,72010330.38,113486694.17,153152766.42,170266452.29,247531053.35
Guinea-Bissau,840003480.18,1048846884.87,1151827882.15,1300072851.45,1498935583.55,1810557607.44,2150350916.82,2414763294.45,3498190896.55,4095999679.34,5263146891.62
Costa Rica,17265340938.06,22590956048.54,26839372393.19,31274880473.52,37751910335.22,50057124504.36,57050723235.1,69871094293.86,88631389938.2,105133735576.63,124736372495.04
Nigeria,,,,,,596971644308.63,702708059369.91,864785217415.76,969599935628.21,1082880313042.61,1284597997968.89
Serbia,,38343092822.2,43535901876.75,49635543318.74,62142959841.63,81373750254.68,92446792850.03,99405673445.52,105266639439.65,126987651570.17,159434379280.82
kos,,,,,,11970551239.62,13209719558.1,14991569296.17,16485124817.13,19164190541.79,24787957005.86
United States,6292417500000.0,7597819333333.33,9139538333333.33,10730264000000.0,12344047333333.34,14451104333333.34,15161236000000.0,17255082000000.0,19142885666666.66,21374606000000.0,25742899999999.96
Israel,82426744041.97,110773482744.06,131634476994.92,158706048554.65,169211599152.31,195927896274.57,221212929735.01,269216993342.62,320261905422.22,367287657066.14,480343240821.94
Myanmar,19350461879.4,26306931387.64,33478678372.1,49144102940.91,76027285287.16,118020607789.02,162944133049.71,199122820572.26,226636762744.18,297696745137.47,297353113981.96
"Moldova, Republic of",16177476250.04,9193611420.43,9007815632.49,10337993972.16,14141802011.05,17711863438.54,19272801508.69,25115932893.29,30321119904.42,36040182886.01,42280110927.56
Honduras,10202171652.65,12498089182.55,14718796881.32,17295185124.85,20935668764.05,27473456082.59,30293202890.16,34647107143.23,45900238704.15,51411619044.4,64931773817.91
Macao,10937994685.82,13641658405.69,13410227811.55,15487065702.88,23407102197.05,34954261867.93,47338118295.52,71006453482.17,65286965724.37,65696452430.46,50660194846.25
Congo,7465709157.48,6546334699.74,7794094248.6,9026658993.62,10744613987.6,15043259277.71,20556977124.7,27932748005.27,21594590229.25,28381132321.36,37640671335.06
Trinidad and Tobago,8904522924.69,10941516784.9,14496918018.5,18588891000.18,26505753465.04,36261348550.86,37333650923.24,40200949363.4,38976402888.65,37651985402.8,44121006499.01
Canada,561649290112.9,661935091400.21,772297820793.96,911730303051.43,1068718400801.5,1275656332039.61,1341635516346.55,1522564957289.21,1657105983807.4,1844329727009.68,2311007832450.41
Faroe Islands,,,,,,2005760141.73,1995793574.04,2513702950.55,2801598467.14,3243289501.36,3936833950.78
Guyana,2330522203.54,3468337238.42,4167084444.62,4530448601.62,4954622958.24,5951721901.84,7038279427.84,8298441254.69,8958883137.06,11192607677.78,29336999533.03
