Country,1994-1998,1999-2003,2004-2008,2009-2013,2014-2018,2019-2022
Italy,30011.58,32650.64,33491.38,31147.65,30891.08,31935.59
Kenya,1192.57,1173.06,1246.76,1207.67,1449.64,1654.12
Türkiye,,,,,10926.19,
Cambodia,389.69,500.25,726.11,902.09,1173.3,1367.1
Azerbaijan,,,,,5324.63,
Romania,4500.17,4861.19,6782.73,7919.0,9438.67,11237.41
Spain,20099.58,24019.87,26256.1,24984.96,26390.94,26708.2
Mauritius,,,7221.9,8383.67,10193.7,10453.91
"Iran, Islamic Republic of",3654.05,4097.79,4952.73,5254.91,5242.02,5248.75
Vanuatu,,2288.13,2505.05,2656.59,2782.45,3066.17
Cayman Islands,,,,,45853.88,
Fiji,,,,,4795.15,
Pakistan,1001.27,1034.52,1213.43,1286.11,1468.16,1611.85
Timor-Leste,,1360.3,2505.86,3939.95,2127.53,2210.74
Bulgaria,3856.09,4004.23,5493.9,6394.13,7150.4,8287.17
India,638.18,776.01,995.33,1271.85,1674.73,1921.18
Rwanda,275.03,359.91,472.33,608.22,732.79,859.44
Greece,,,22696.77,19267.39,18099.61,18405.8
Chad,,,557.27,689.19,694.7,605.0
Mozambique,,,,,583.05,
Tajikistan,428.94,496.47,794.82,1005.61,1204.22,1432.75
Finland,33657.9,40352.54,44819.82,43161.54,44164.2,46659.45
Brunei Darussalam,34843.19,34471.96,34636.21,32484.05,31222.15,30151.67
New Zealand,24506.19,27995.44,31574.74,33983.81,38260.98,41073.88
Burkina Faso,379.78,443.67,507.4,565.25,628.55,688.53
Marshall Islands,,,3992.13,4041.72,4965.7,6031.67
Poland,6094.91,7400.19,8916.83,10720.54,12583.7,15053.06
Palau,,,,,16987.62,
