Country,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009,2010-2013,2014-2017,2018-2021
Jordan,21.13,27.19,29.53,36.23,36.26,43.38,45.61,46.42,46.59,46.29
Lao People's Democratic Republic,38.3,40.73,39.47,43.62,45.59,49.18,49.88,47.94,49.01,50.85
Lithuania,,,,69.15,70.84,73.5,78.83,77.96,77.09,79.36
Kenya,25.87,27.09,29.09,33.72,36.75,40.39,41.7,46.23,49.25,51.23
Indonesia,28.11,29.61,33.69,34.38,39.05,50.13,49.43,50.29,48.36,51.74
Barbados,66.04,68.25,68.6,71.14,71.86,72.35,72.58,72.11,72.78,76.81
Kazakhstan,,,,56.93,56.82,56.7,57.21,56.72,57.69,58.97
Canada,60.8,66.17,69.62,72.91,77.71,82.52,79.3,78.57,81.33,83.66
Syrian Arab Republic,36.07,38.37,39.05,42.05,42.59,44.71,43.62,42.12,37.31,34.55
Bulgaria,67.37,67.44,68.28,78.17,77.8,79.68,79.5,81.04,80.29,78.63
Mongolia,49.97,51.48,52.51,53.79,59.86,60.64,61.03,62.6,63.47,59.9
Azerbaijan,,,,43.22,47.12,47.17,46.44,47.08,46.8,48.66
Angola,32.69,36.86,37.78,37.59,37.17,41.22,45.34,48.86,50.66,52.52
Switzerland,57.49,60.87,62.88,68.56,69.57,76.34,75.08,75.85,75.59,80.56
Libya,18.03,16.01,21.39,20.41,23.7,25.97,32.95,32.52,31.8,32.16
Zambia,35.25,37.17,37.56,43.54,45.11,48.6,48.17,49.53,49.0,53.66
Guinea-Bissau,32.36,34.81,35.73,41.9,43.44,45.62,46.0,45.65,46.22,45.63
"Iran, Islamic Republic of",23.91,11.14,11.51,14.54,20.68,24.26,22.04,24.21,24.27,23.28
Botswana,42.55,43.15,46.72,45.76,49.69,51.8,52.38,54.17,56.53,56.41
Guinea,28.27,29.74,23.18,28.06,30.09,33.12,32.93,32.43,35.16,36.23
Finland,66.49,72.08,73.91,74.14,80.32,82.44,83.22,84.34,83.98,91.56
Belarus,,,,59.61,62.79,65.2,68.37,66.82,69.59,69.86
Albania,49.92,50.48,50.67,46.27,48.35,53.35,56.87,58.01,60.9,63.55
Malaysia,35.76,38.96,40.24,41.86,42.83,44.03,46.75,47.23,47.4,50.44
Iceland,51.88,56.37,63.66,66.01,67.7,75.38,75.44,78.4,77.46,77.43
Eswatini,38.48,40.09,41.35,41.66,40.17,42.02,43.42,42.91,41.87,42.45
Luxembourg,59.64,61.66,62.53,64.99,66.49,65.6,70.01,72.12,72.25,74.09
Portugal,63.63,62.39,63.0,65.15,71.19,73.43,71.93,73.75,76.54,79.89
Mozambique,38.37,41.71,41.71,47.33,53.33,56.7,56.72,58.48,57.6,59.1
