Country,1970-1973,1974-1977,1978-1981,1982-1985,1986-1989,1990-1993,1994-1997,1998-2001,2002-2005,2006-2009,2010-2012,2013-2015
"Moldova, Republic of",104.16,105.45,106.41,107.05,107.52,107.67,107.57,107.46,107.43,107.47,107.56,107.64
Mauritius,76.81,79.16,81.82,84.37,87.09,89.72,92.21,94.18,95.91,97.4,98.58,99.45
Tonga,90.04,91.73,93.33,94.83,96.32,97.59,98.88,100.05,101.2,102.23,102.99,103.56
Bhutan,32.8,33.95,35.02,36.31,37.66,39.04,40.55,42.02,43.63,45.35,46.88,48.23
Paraguay,95.0,96.8,98.48,99.99,101.58,103.11,104.58,106.08,107.41,108.6,109.51,110.08
Botswana,106.87,108.65,110.1,111.02,111.3,110.73,109.61,110.43,111.29,112.22,112.85,113.41
Trinidad and Tobago,95.59,97.21,98.74,100.11,101.41,102.51,103.46,104.27,104.97,105.57,105.99,106.32
Cameroon,49.32,51.72,54.36,57.36,60.62,64.24,68.02,71.27,74.06,76.51,78.35,79.75
Georgia,94.42,96.05,97.47,98.86,100.09,101.13,102.03,102.78,103.38,103.83,104.18,104.36
Argentina,97.29,98.89,100.38,101.76,102.99,104.15,105.16,106.01,106.78,107.42,107.83,108.1
Belgium,95.77,97.18,98.47,99.62,100.62,101.43,102.14,102.8,103.37,103.81,104.18,104.41
Russian Federation,96.39,97.85,99.13,100.38,101.47,102.43,103.24,103.9,104.44,104.88,105.15,105.39
Spain,90.88,92.73,94.63,96.32,98.05,99.57,101.03,102.28,103.28,104.1,104.66,105.04
Papua New Guinea,52.43,54.05,55.78,57.41,59.2,61.11,62.93,64.93,66.88,69.0,70.81,72.33
Uganda,53.33,54.99,56.77,58.6,60.54,62.58,64.76,66.87,69.14,71.34,73.24,74.87
Switzerland,83.81,85.63,87.37,89.0,90.67,92.16,93.51,94.84,96.03,97.13,97.95,98.62
Indonesia,66.65,68.97,71.53,74.13,77.01,80.05,83.29,86.15,88.68,90.94,92.72,94.02
