Country,1976-1981,1982-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
New Zealand,15154160521.16,16569374756.65,18053596587.57,20195036989.25,23803744254.03,29509394282.79,32610439628.77,40675788629.51
Nepal,,,,,1135012111.36,1492355854.78,1962355146.9,2558124832.09
Gabon,696215964.71,1063635400.02,818463033.55,989548363.9,1143104244.82,1590518331.68,2137019630.38,1809904618.6
Türkiye,,35980994466.97,39515343827.07,50401427298.87,64908859767.31,89121002977.89,119409488472.54,158213857327.43
Lithuania,,,,5995289074.61,6468225305.45,7154199587.2,7111074855.25,7103701772.26
Ecuador,6134150355.72,6832133410.01,7334211066.24,7540830381.58,6703463866.42,8678914052.42,13891820041.22,15023185399.44
Burundi,,,,229192915.64,186066248.8,484776539.51,703116496.31,1023239913.1
El Salvador,,,1791995855.09,2223104501.9,2703180265.52,3249410421.97,3812532111.5,4336125411.52
Guatemala,1507112114.33,1821789478.71,2261491384.14,2918135100.04,3719659240.25,4889279670.22,6676992809.75,7962435307.4
Cameroon,715945101.45,1190151279.52,1363386995.29,1397813068.3,1853641804.51,2711788345.05,3801935310.18,4521139621.02
Malta,,,,,1378003441.37,1574159862.94,1813134434.41,2645741265.61
Argentina,,,54358207283.36,57557834371.34,60708158753.56,79565012474.15,102643655659.83,104704269504.88
Hong Kong,6558004055.14,10422236606.58,14257580795.92,18864628339.2,22462913209.34,24669714667.18,29419292692.62,38161508125.35
India,26344815991.55,39265821006.16,55048021241.78,75613712159.63,103329851012.55,154856202947.24,215839575076.61,295733215485.29
Honduras,999323336.17,1167546879.29,1325630869.25,1223370165.27,1919042040.83,2718473998.02,3032263044.11,3544886882.15
Bahamas,,,868164331.59,1242222909.82,1530722164.23,1596412619.07,1332054538.15,1805766615.65
Central African Republic,,,,,,304773596.11,269077371.25,166604060.61
Mauritania,1294229973.75,851718275.2,678324381.21,517221476.37,628165367.44,710057084.93,878339552.61,1343148212.89
Tonga,,,,,,81280582.95,91417054.26,114422258.01
Comoros,41985495.2,49671951.24,54631706.01,57794018.88,70934246.17,83677220.95,101759636.56,122062281.41
Fiji,,,,,,,943650739.17,
Mali,,705687618.46,690020432.38,707832123.18,1293989359.81,1673678642.69,2062287500.12,2771584426.49
Somalia,,,,,,,361105287.44,588826296.25
nld_curacao,,,,,,,480837988.83,
Syrian Arab Republic,864479763.11,1082943860.53,916742060.97,1018574339.94,1438420814.81,2377550847.69,2583439109.62,2669705496.0
Costa Rica,4444073587.1,4507686069.02,5152597068.04,5839785561.16,6701504074.8,7975664724.21,9429615326.08,10778206911.95
Turkmenistan,,,,,,,3030285714.29,
