Country,1970-1978,1979-1987,1988-1996,1997-2005,2006-2014,2015-2023
Senegal,467845743775.56,624079279571.11,646493100493.33,900142747988.89,1296167742288.89,1804182059455.19
Jamaica,,,,,125213375000.0,121422600000.0
Chad,,215448699033.33,176615743466.67,117653419787.5,311702975000.0,154595782566.67
Viet Nam,,,115457015170000.0,147191194932222.22,278977712540000.0,444134888750000.0
Mexico,815934830708.39,1456757879653.48,1700758167623.65,2000741294000.0,2324918909333.33,2661016884888.89
Cambodia,,,512436341725.0,768629496333.33,2046551840777.78,3580153087958.89
Honduras,6374953122.22,9614333333.33,10686777777.78,14543311111.11,23709055555.56,28781355555.56
Guinea,,,,,5603953613633.33,12448874498444.44
Lesotho,20405833.33,128525922.22,965574655.56,3283766522.22,7822395955.56,7528462762.5
Austria,31082156444.44,39484982000.0,46851435777.78,56575322222.22,65362828888.89,72295087777.78
Philippines,477515100835.56,598025449592.22,729613399634.44,836907466544.44,1232495947311.11,2390500576855.56
Canada,201259604333.33,251810983000.0,296844344555.56,322478157333.33,394228215333.33,455746815888.89
"Palestine, State of",,,993496066.67,1647742166.67,2824424122.22,3294933333.33
Angola,,,,134401775000.0,209610068522.22,185360032822.22
Russian Federation,,,15268619626571.43,14030723775222.22,16134424004444.44,17012198715111.11
"Venezuela, Bolivarian Republic of",2510743677.78,3047200900.0,3839864966.67,5853203111.11,10222633666.67,
Mauritius,19399838021.04,21764312295.77,31751878791.3,44915947344.44,58625146244.44,72097917277.78
Yemen,,,28774684851.33,37489133800.0,47792962433.33,21924427175.0
Palau,,,,57760684.97,69517135.62,94495708.47
