Country,1977-1981,1982-1986,1987-1991,1992-1996,1997-2001,2002-2006,2007-2011,2012-2015,2016-2019,2020-2023
Timor-Leste,,,,,,100605233.95,306721786.89,696247620.39,605871880.11,767491893.68
Libya,8854212087.6,7720128590.26,6645885526.13,6752044602.86,4822726423.65,9553800000.0,19424140000.0,26621675000.0,12683825000.0,13052600000.0
Armenia,,,,520790324.0,775633766.2,1400923923.93,3302381573.1,3505870035.27,4058166479.94,6851294522.44
Saint Kitts and Nevis,42112962.96,47169629.63,87318518.52,105206666.67,143164496.19,172466440.06,284192087.9,291995091.26,342863328.93,331543980.23
Guatemala,1357020000.0,1094980000.0,1466360000.0,2634260000.0,4381621009.6,8257646856.6,12246568172.0,15525352675.0,16751472142.5,23911952885.0
Bosnia and Herzegovina,,,,,3973564720.18,6375233992.22,9070705006.92,9138337868.88,9817778166.01,12433060644.33
Dominica,35034074.07,47575555.56,86190370.37,95211111.11,120546824.71,125553794.96,199127462.88,199401354.13,231926726.84,222478017.73
Egypt,5902974861.23,8456885720.05,9289351948.05,10851400000.0,14656040000.0,19552992500.0,44265020000.0,52033700000.0,54715793750.0,65647050000.0
Estonia,,,,1469173185.31,2905114175.14,6598581158.51,12063056345.49,15008154062.83,15036473995.67,20538472060.01
Vanuatu,,47933230.79,65250765.67,73343966.6,78914603.34,112388482.81,237050770.6,274510749.62,302609521.81,299598690.62
Seychelles,64977352.91,80984605.6,139609503.7,205040763.9,348075065.97,510139487.28,797983721.11,1026643889.98,1127139294.41,1143781993.34
Oman,1512507242.36,2583875934.57,2367178153.45,3926147973.39,4811638467.1,7500273081.92,18094688686.61,28031181853.06,22377746252.73,29378303784.79
Uruguay,1284075000.0,800040000.0,1227780000.0,2502220000.0,3302404896.65,3123103247.07,8122545933.01,11829155361.32,8968428053.39,11412072837.96
Kuwait,5484813137.72,6446769252.12,5245884428.8,7195946656.3,7133542121.65,12338583445.44,20719268664.28,26136290332.07,29223717883.29,28523566550.95
New Zealand,,,,,12657541018.94,20810323031.5,30523915876.6,38264026917.82,40228070313.39,47481903985.73
Hungary,,8654986823.83,9337926982.0,12425966457.12,24499478308.99,54120823513.61,91062445426.15,88192355195.17,97972475055.6,126830568324.41
Switzerland,36379363195.59,42294084628.03,72949898412.81,84160085143.85,93029881445.11,125925784823.86,234308457762.18,283018609811.31,268595041499.4,332465823779.76
Rwanda,,,,,,,1326524633.01,1907136804.63,2255973553.26,3795611597.64
North Macedonia,,,,1205080000.0,1336170005.6,2302069489.22,5043225315.65,5682437309.05,7128063914.2,9880852892.23
Barbados,387110200.0,562751061.26,600184505.39,626392439.64,1003218527.69,1304146283.81,1601383333.77,1620937764.91,1536078255.96,
Comoros,23629232.38,28662407.93,44584665.09,51562227.67,,84189082.59,170427035.76,214614088.76,220633694.66,254961862.82
Ecuador,1951220000.0,1685800000.0,1850400000.0,3457570000.0,4431463826.96,8258623281.03,17644737938.26,24492198530.07,19815703319.43,25207407817.99
Lao People's Democratic Republic,,180266666.67,188560000.0,415760000.0,470932040.91,712784044.96,1682434221.36,4187149782.89,5906560749.72,6296525266.16
Sudan,952967370.79,653201123.19,896256888.89,958780000.0,1434300000.0,4293358320.0,8289344713.28,8378676515.0,7781598757.26,9247971525.31
Kazakhstan,,,,5976300000.0,6865667897.53,14622805050.03,34726975282.25,43052224271.75,33414960843.37,47490726537.29
Papua New Guinea,829700256.41,951744416.88,1273032902.9,1311614808.9,1112843098.86,1448645017.63,3286571919.68,4182551602.33,3412677560.03,3935383342.41
