Country,1996-2000,2002-2004,2005-2007,2008-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022
Botswana,0.21,0.19,0.19,0.21,0.21,0.2,0.2,0.21,0.22,0.21
India,0.19,0.18,0.18,0.19,0.19,0.2,0.2,0.2,0.22,0.24
"Iran, Islamic Republic of",0.21,0.21,0.23,0.24,0.22,0.22,0.21,0.21,0.24,0.27
Chad,0.27,0.23,0.19,0.19,0.19,0.18,0.18,0.18,0.2,0.21
Sudan,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.2,0.21
Palau,,,,0.66,0.74,0.78,0.44,0.45,0.47,0.47
Romania,0.2,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.21,0.22
Estonia,0.21,0.19,0.19,0.21,0.21,0.21,0.21,0.21,0.22,0.22
Nauru,,,0.56,0.66,0.74,0.78,0.44,0.45,0.47,0.47
Argentina,0.19,0.18,0.19,0.21,0.2,0.2,0.2,0.2,0.22,0.24
"Venezuela, Bolivarian Republic of",0.19,0.18,0.19,0.2,0.2,0.2,0.2,0.2,0.22,0.24
Vanuatu,,0.41,0.3,0.32,0.32,0.34,0.34,0.35,0.39,0.39
El Salvador,0.2,0.19,0.2,0.22,0.21,0.21,0.21,0.21,0.24,0.25
"Tanzania, United Republic of",0.21,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.19,0.2
Nicaragua,0.2,0.19,0.19,0.2,0.2,0.2,0.21,0.2,0.24,0.26
Brunei Darussalam,0.24,0.3,0.32,0.27,0.25,0.27,0.26,0.24,0.28,0.33
Madagascar,0.24,0.21,0.18,0.18,0.18,0.17,0.17,0.18,0.19,0.21
Norway,0.19,0.2,0.2,0.23,0.22,0.22,0.22,0.22,0.26,0.28
Myanmar,0.21,0.21,0.24,0.24,0.23,0.2,0.21,0.22,0.24,0.27
Dominica,0.27,0.34,0.33,0.35,0.34,0.35,0.39,0.39,0.41,0.42
Finland,0.19,0.2,0.21,0.23,0.22,0.21,0.21,0.21,0.22,0.23
Congo,0.24,0.26,0.2,0.19,0.19,0.18,0.2,0.21,0.22,0.23
