Country,2002-2005,2006-2008,2009-2010,2011-2012,2013-2014,2015-2016
Costa Rica,16.7,15.22,22.82,24.0,24.95,25.79
Ireland,13.1,15.86,19.58,18.64,16.0,11.84
Norway,19.37,17.73,20.82,19.42,19.93,21.6
Mauritania,8.37,10.54,11.27,9.01,8.52,9.89
Viet Nam,,18.02,19.42,19.22,21.14,
Philippines,9.41,8.89,,,,
Monaco,3.5,,3.92,3.82,3.58,3.31
Lesotho,24.42,21.47,,,,
Dominica,,15.57,14.33,14.19,,14.64
Samoa,10.56,,,,,8.97
Benin,10.25,11.47,13.15,12.19,10.62,10.25
Nicaragua,7.24,7.69,11.26,,,
Lao People's Democratic Republic,8.97,,4.89,5.06,9.53,
Antigua and Barbuda,,,8.06,,,
Andorra,7.73,9.82,16.4,17.8,14.29,13.1
New Zealand,,,,,18.79,19.33
Uganda,10.32,,4.24,6.35,5.39,
Hungary,22.62,23.73,21.75,18.93,18.28,18.87
Spain,18.33,19.35,21.17,19.62,17.48,17.2
Syrian Arab Republic,13.17,17.95,17.74,16.89,,
San Marino,,,14.5,16.08,,
Bulgaria,16.26,21.67,22.12,18.94,23.0,
Niger,,30.21,25.55,20.38,26.02,19.5
