Country,1995-1996,1997-1998,1999-2000,2001-2002,2003-2004,2005-2006,2007-2007,2008-2008,2009-2009,2010-2010
Afghanistan,,,,1.48,1.48,1.48,1.48,1.48,1.58,1.59
Nepal,4.55,6.14,6.11,8.62,10.81,13.84,11.33,12.45,11.05,8.96
Mexico,14.17,14.98,16.95,16.14,16.48,16.2,15.5,14.96,11.91,
Burkina Faso,10.09,9.47,9.04,10.88,13.93,17.44,14.85,16.26,13.56,13.49
Tajikistan,7.33,8.35,6.72,6.02,5.47,5.9,4.34,5.04,5.4,6.11
Palau,14.22,14.27,12.64,12.79,13.23,15.18,14.26,14.26,14.26,14.26
Gambia,5.5,7.28,8.84,7.83,12.26,11.28,11.28,11.28,11.28,11.28
Portugal,11.73,12.56,14.04,14.7,15.16,15.09,14.81,14.6,14.6,14.6
Marshall Islands,14.34,19.42,20.28,18.1,16.77,16.09,15.35,15.73,19.46,16.99
Denmark,11.4,11.86,13.57,14.3,14.77,15.96,16.56,16.71,16.8,16.8
Iceland,16.56,19.0,19.52,18.8,18.77,18.45,18.27,13.36,15.71,14.74
Mauritania,9.59,10.47,14.42,9.31,8.5,8.42,8.56,7.3,7.3,7.3
Brazil,8.25,6.33,4.78,4.87,4.78,4.92,5.42,5.73,5.86,7.08
Kiribati,10.28,9.49,8.95,6.47,5.72,9.78,11.03,12.58,13.0,12.08
Norway,14.46,15.04,16.28,17.02,17.58,17.97,18.16,17.91,17.44,17.44
Liberia,,8.86,9.79,9.33,11.26,13.16,17.25,17.21,13.83,11.1
Saint Vincent and the Grenadines,12.58,8.85,9.63,10.42,10.41,8.9,9.32,11.51,11.51,7.77
Guinea-Bissau,7.66,6.98,3.45,4.94,5.17,4.09,4.14,4.14,4.13,4.14
Philippines,7.61,7.98,8.14,6.57,7.22,7.71,7.09,6.58,7.14,7.55
Peru,13.82,13.42,14.75,15.64,15.4,15.68,18.48,20.78,15.86,14.28
Gabon,5.23,3.06,4.36,4.28,6.56,4.89,5.61,5.13,6.63,6.63
Bosnia and Herzegovina,9.5,8.67,10.9,10.0,13.7,12.52,13.34,14.05,15.12,16.64
Estonia,14.24,13.5,11.58,10.71,11.23,11.2,11.48,11.89,11.68,11.68
Panama,15.34,20.32,20.09,10.78,10.93,12.66,11.58,13.54,14.7,15.11
Niue,6.73,6.15,6.79,20.13,12.74,13.08,14.62,14.97,15.82,15.81
"Moldova, Republic of",14.07,10.89,8.74,11.36,11.94,11.52,11.73,12.97,13.39,13.11
