Country,1971-1981,1982-1992,1993-2003,2004-2013,2014-2023
Austria,3.03,2.9,1.9,0.92,1.77
Chile,3.77,6.44,8.32,10.48,0.55
"Korea, Republic of",13.98,13.18,6.11,2.49,2.82
Finland,2.12,0.33,5.02,1.31,0.95
El Salvador,,21.66,4.65,0.04,3.95
Turkmenistan,,-15.63,8.24,4.47,
Paraguay,19.44,1.29,0.9,5.87,3.92
Serbia,,,15.77,6.53,6.12
Romania,,-10.32,6.02,6.64,4.45
Israel,1.8,8.73,2.27,5.11,6.28
Mali,,16.61,8.1,5.92,3.08
Gambia,,,,3.63,15.61
Portugal,6.42,3.98,3.13,-3.63,4.67
Bosnia and Herzegovina,,,7.58,3.41,6.45
Oman,,,-3.56,22.01,-1.9
"Venezuela, Bolivarian Republic of",2.16,7.89,-4.0,19.57,-22.92
Pakistan,3.79,6.29,1.78,3.22,1.97
Senegal,6.98,2.76,8.1,5.07,13.92
Albania,,,39.35,2.43,2.36
Djibouti,,,,,-194.35
India,4.85,6.83,8.1,10.7,6.48
San Marino,,,,,12.91
Armenia,,,8.52,4.69,5.65
