Country,1968-1974,1975-1981,1982-1988,1989-1995,1996-2002,2003-2009,2010-2016,2017-2023
"Moldova, Republic of",,,,1108832000.0,57218142.86,-5413411000.0,-6936844585.71,-2656135557.14
Bosnia and Herzegovina,,,,,-3018812266.67,-2210298057.14,-1241500328.57,3498836857.14
Mozambique,,,,-590756820.0,10385604842.86,25570255500.0,32106522671.43,95261896456.65
Senegal,58069445592.86,75407957670.0,86412257814.29,99677198614.29,385950507457.14,459366070257.14,946915531100.0,2936434571428.57
Syrian Arab Republic,1005547771.43,3955428571.43,8761571428.57,59140428571.43,192410428571.43,381225000000.0,-332700857142.86,-3114646800000.0
"Tanzania, United Republic of",,,,781118581548.8,1881447488928.57,6336809840485.71,18749746817971.43,54360738232871.43
Ireland,477527200.0,1362968000.0,4948771714.29,11207861000.0,35520109285.71,64938834142.86,87997190571.43,243126650714.29
Bulgaria,,9084500.0,11040814.29,71762014.29,3855482714.29,8620917142.86,17668667571.43,31240571571.43
Paraguay,15341596297.14,85321857142.86,423670238940.0,3117941999300.0,7935230960657.14,22750306452342.86,41849986070914.29,60918919699679.29
Qatar,,,,10127500250.0,28950285514.29,164685428571.43,422099897142.86,394641320365.84
Nicaragua,,,,2208860400.0,3598455057.14,4886667557.14,33432142857.14,56096142857.14
Ghana,31828.57,144757.14,2273114.29,31120685.71,177092671.43,478465985.71,18815344400.0,66490768471.43
United Arab Emirates,,,,,116157862700.0,272943855800.0,740156134357.14,709414792375.0
Suriname,,,,,,4444250000.0,6086000000.0,
Austria,11637297200.0,17139773142.86,25111862142.86,39197767428.57,54107161428.57,73252500000.0,87859331428.57,116394738571.43
Israel,670223.98,11927897.31,6104444101.87,41725073702.22,114149493428.57,163180934714.29,256950634571.43,424699899000.0
Guinea,,,546322062214.34,1731896512656.84,2937709322485.71,2570383150671.43,135153760285.71,22790561824555.14
Iceland,253048000.0,2732703000.0,31304269428.57,87668047571.43,137966720857.14,258922027285.71,496921362285.71,776970169714.29
Albania,,5103615300.0,4526774242.86,-17750687042.86,14780820000.0,83057008571.43,126096618571.43,198396599974.48
