Country,1978-1981,1982-1985,1986-1989,1990-1993,1994-1997,1998-2001,2002-2005,2006-2009,2010-2013,2014-2017,2018-2020,2021-2023
Thailand,543226959200.0,658515544275.0,910589621200.0,1795555540525.0,2408563000000.0,1170195500000.0,1555894750000.0,1928463000000.0,2183985500000.0,2371268000000.0,2552608666666.67,2612225666666.67
Kazakhstan,,,,3073315155175.0,1109594201575.0,902218482100.0,1596228348300.0,3119955059925.0,3668578857400.0,4452496686200.0,5422587561266.67,5894591426400.0
Montenegro,,,,,,,,844872500.0,648697750.0,910065250.0,1323368333.33,1075505333.33
nld_curacao,,,,,,,,,1631200000.0,,,
Jamaica,,,,,,,,206475000000.0,178721250000.0,185911250000.0,202767500000.0,
Lebanon,,,,4016859500425.0,8743759008925.0,7133442402400.0,7349063066050.0,10691238663300.0,15083963197500.0,16128311962500.0,10928565889000.0,584681935266.67
Rwanda,110989967851.33,217045931215.61,245653793429.6,206459072708.92,105295919208.06,252421753409.32,361244500000.0,769841250000.0,1218530250000.0,1746496250000.0,2206924000000.0,2743333000000.0
Switzerland,78238145750.0,84896491000.0,104250128000.0,111167017500.0,111537895500.0,130349720500.0,138661403500.0,155644033000.0,162348321250.0,179444348250.0,189246593333.33,193519820000.0
Angola,,,,,,,251116901200.0,395839951775.0,475810888825.0,472543727850.0,425729379800.0,461591778266.67
Syrian Arab Republic,132588750000.0,162053750000.0,110247250000.0,119854250000.0,165503750000.0,164524500000.0,238513000000.0,288839000000.0,275228500000.0,256155250000.0,438646666666.67,555471000000.0
Gambia,,,,,,,5617499650.0,5698335050.0,6891350700.0,10876469600.0,15764258966.67,25914333333.33
Lesotho,130390525.0,229697700.0,548832250.0,1688212350.0,3082029950.0,3149982350.0,2957429250.0,3831769775.0,6170037600.0,6825151250.0,6704433100.0,7489694100.0
Japan,88242288070250.0,94657400000000.0,123816475000000.0,149306400000000.0,148698725000000.0,144804025000000.0,137018225000000.0,132373500000000.0,122379875000000.0,134931550000000.0,137765666666666.69,133576700000000.0
Albania,,,,,99592949300.0,167376483225.0,287444461325.0,370118417350.0,351751824175.0,339526653750.0,359877587133.33,447719701500.0
Ethiopia,,,,,,,,,285214524500.0,547509167375.0,676971481633.33,739707359566.67
Togo,323076664963.81,242735626122.14,360889052371.01,266304972733.31,188340378535.96,281224195657.96,316794918666.09,360171161402.37,519340474180.49,736428030126.28,804353191266.67,1113342364833.33
