Country,1987-1990,1991-1993,1994-1996,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2023
Colombia,10.65,,,,,,,,,,,
Timor-Leste,,,,,7.52,7.85,6.92,9.08,8.38,7.83,4.81,6.23
Singapore,23.61,27.25,28.05,28.9,23.48,19.15,21.69,21.95,22.79,21.07,18.04,17.89
Egypt,12.98,8.15,7.78,9.23,8.82,8.11,12.73,10.0,8.09,7.19,6.67,4.05
Mexico,13.41,15.89,15.59,18.21,17.06,16.43,17.83,17.6,18.26,20.07,18.91,19.86
Northern Mariana Islands,,,,,6.23,7.85,8.85,10.16,11.82,25.92,14.93,
Senegal,10.28,11.35,12.96,13.01,15.27,12.69,15.38,13.58,16.03,,,
Central African Republic,,,,,,,,,,,8.24,8.6
Libya,,,,,1.96,1.65,,,,,,
Burundi,,,,,,16.4,9.7,9.3,8.88,7.83,9.64,10.62
Ethiopia,,,,,,,,18.41,21.7,23.73,22.75,18.04
Bosnia and Herzegovina,,,7.83,,,,,,,,,
Seychelles,7.31,13.37,14.54,23.43,21.87,13.99,24.26,26.01,26.71,21.53,17.44,13.37
Gambia,12.41,,,,,,,,10.7,16.52,17.32,18.98
Lao People's Democratic Republic,,,,,11.61,23.4,22.13,20.08,20.44,22.23,,
Azerbaijan,,18.8,22.15,31.37,23.45,46.74,16.65,,,,,
Mauritius,16.9,19.22,16.11,16.43,15.22,14.58,18.21,18.47,15.54,12.52,13.53,16.21
Angola,0.0,0.0,,,,,14.86,24.36,16.75,21.09,15.93,21.0
Guyana,11.72,26.76,15.13,13.59,8.71,10.93,,,,,,
Sudan,,11.84,8.82,9.05,16.0,,,,,,,
Bangladesh,9.77,10.69,13.29,16.3,17.91,19.76,21.12,21.88,22.09,23.14,24.74,24.13
Papua New Guinea,18.38,17.99,,,,,,,,,,
Botswana,18.95,18.16,13.62,13.99,14.73,17.66,18.23,20.55,28.61,,,
Uganda,5.77,8.26,11.21,12.67,13.55,15.96,17.19,21.26,22.86,20.2,18.44,16.44
Russian Federation,,,18.27,14.08,15.79,15.36,17.19,20.02,18.83,17.5,16.7,16.15
