Country,1980-1984,1985-1989,1990-1994,1995-1999,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023
San Marino,,,,,,,,1028478392.16,1108306924.8,1100552504.96
Cuba,51230195016.11,60989662012.56,46888934359.31,42485494688.57,48777230408.36,61214552676.68,71256196070.48,79523782355.92,89780373588.53,84849468892.01
Tunisia,11659699329.09,12198700066.68,15064452726.92,18034859915.15,22899694065.2,27211672221.49,38727838899.86,49076905863.6,52627423894.41,50910598563.46
Thailand,,,,,,,,364463242907.55,,
Estonia,,,8168855228.0,10460496852.72,14018777199.62,20430000633.1,19009223886.63,21292643022.27,24785551868.21,29279109586.85
Benin,3891210605.59,4055266270.34,4530866512.36,5457060569.21,6821159340.14,7821630210.92,9219669304.12,11114213164.08,13704278987.99,17435723666.21
Greenland,,,,,2077641038.46,2370756904.52,3097807831.04,2770440436.87,2883254567.15,3174039988.08
Japan,2494736981875.58,3099678072948.96,3775592227775.42,4038439504332.93,4141415660950.44,4288536314221.99,4187452985888.7,4402339041697.86,4533760138900.77,4478158340123.69
"Moldova, Republic of",,,,4451831418.0,5207780519.49,7417471607.85,8464330596.54,9679587286.38,10864353269.48,11811336633.23
Australia,,,,,,,,1371747629439.63,,
Canada,668144623063.35,789881305206.65,855221879857.13,957189033733.45,1115803286119.77,1306476416474.71,1443413199967.94,1575605290030.17,1679909462120.74,1770635408663.69
Czechia,,,102197786814.37,120380507139.59,134175578027.34,156127730067.58,166776319934.96,167106163931.09,190795009909.04,201954276131.92
Equatorial Guinea,,,,,,7012646030.86,11442619230.39,13363741111.71,9823711981.02,
Qatar,,,,,,,,128720175357.14,,
Georgia,,,,,,,14008635525.77,16465100640.42,19316978859.73,23106899169.55
"Korea, Republic of",216638346880.17,334288893653.8,545918206113.87,725202145978.72,894441145848.3,1045155366825.75,1178353600173.31,1303863668014.35,1501418605113.83,1603912144851.35
Bulgaria,,,,26985442024.05,31854752240.75,44914245660.31,50402725777.17,49401439329.48,54207236924.21,62987238909.69
Uzbekistan,,,,,,,,90388168473.33,,
Kazakhstan,,,97873375118.43,45636117205.51,54997102149.2,90308895858.53,119239183325.74,161663607640.98,184153534652.28,204704419507.16
Burkina Faso,2963432830.63,3560237420.51,3804253309.81,4848102352.03,5964248018.44,7533191368.28,9332416641.6,11946716766.8,14866132967.95,17481647775.73
Belarus,,,19328036606.27,14597355546.87,20519712413.74,32348602670.71,49173470419.65,56820909206.16,55337710131.6,57670733133.91
Niger,,,4175190229.9,4713737098.55,5371890251.1,6281055795.73,8282012664.86,10271413820.87,12753456008.58,15693934714.69
Oman,,,,27774716859.22,26648341914.74,38408601828.99,56046093942.0,72865276474.46,79416394920.51,77055009008.37
India,318860328697.8,406148279950.07,507055504637.6,675995851690.58,848482951807.33,1167695351602.39,1557987768330.87,1955865926179.58,2534546916360.39,2978749122226.2
"Tanzania, United Republic of",,,14383460599.78,15793066674.22,20036958511.53,27575060405.78,36139496019.25,46637162267.08,57131128225.16,68597900393.45
Barbados,,,,,,,,5100331850.0,,
Brunei Darussalam,,,5486061473.06,6933528939.34,5672345894.83,6692004349.97,8533552977.34,10896971429.9,10767807854.15,11261253033.2
