Country,1970-1975,1976-1981,1982-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
Andorra,,,,,,1834145000.0,2460403333.33,2242635000.0,2652550000.0
Kazakhstan,,,,14867100100.0,1308767683333.33,4316031466666.67,16503673416666.66,38732268083333.34,79125066650000.0
Israel,,,,,364271137600.0,537531456333.33,737400088833.33,1035351398833.33,1315097292750.0
nld_curacao,,,,,,3570864550.0,4448806816.67,4808140300.0,4480727360.0
Jamaica,1578350016.67,3595783250.0,9708145316.67,51023489650.0,245458500000.0,461065000000.0,883891333333.33,1342083833333.33,1908964166666.67
Nicaragua,,,,,35405408850.0,71676077516.67,150615333333.33,296322500000.0,444852333333.33
Sint Maarten (Dutch part),,,,,,,1521500000.0,2081407316.67,2198989150.0
"Korea, Republic of",5264850000000.0,26807800000000.0,77285266666666.67,204267416666666.62,450332566666666.75,728766433333333.5,1086695750000000.0,1486834883333333.0,1865198116666667.0
Denmark,156445704500.0,306716116500.0,544076715833.33,751352472833.33,958234323166.67,1235109070666.67,1515091128333.33,1754610036500.0,2194227287000.0
Comoros,,,,,,,308783338080.0,409889232116.67,523323619183.33
Pakistan,64299666666.67,175247666666.67,400288000000.0,871743333333.33,2076355500000.0,6261004833333.33,13542254166666.66,27564688833333.33,52932489222666.66
Chile,7826541064.79,666265418160.0,2455532781000.0,11115363868933.33,29203200261333.33,47368663412666.66,89681532442333.33,138301686653333.31,205373545235000.0
Norway,110638833333.33,238431333333.33,459568166666.67,674437666666.67,937949000000.0,1484510000000.0,2243151666666.67,2794221333333.33,3881566166666.67
Chad,143148369983.33,227406478550.0,354720829883.33,451469416416.67,816008568300.0,1788576319016.67,4550153860583.33,6065105186000.0,6843811216666.67
South Africa,21232666666.67,51120666666.67,129246500000.0,326223409800.0,679456608816.67,1307734396966.67,2460146704016.67,3890114710233.33,5459453437800.0
Aruba,,,,,2507568000.0,3409784166.67,4189954500.0,4664812166.67,5398522000.0
Saudi Arabia,79183833333.33,382590166666.67,398490500000.0,431215166666.67,560368500000.0,845226000000.0,1827369333333.33,2671929000000.0,3268477666666.67
Central African Republic,57183301666.67,137599995000.0,297622351666.67,355884700000.0,515533513916.67,643719299216.67,874222650000.0,1007055000000.0,1288669779250.0
Fiji,301750033.33,742199900.0,1165674833.33,1786141500.0,2653550000.0,3655309333.33,4916674916.67,7447538000.0,8877085355.15
Namibia,,1842292109.5,3173212439.22,7378900613.78,16371522466.67,33607983083.33,67702239133.33,128344794700.0,177033666917.51
Bhutan,,1088830835.74,2009100323.82,5149071800.58,11755507316.67,27601301400.0,60844843400.0,125524588550.0,190185073680.0
United States,1254110653166.67,2326077579000.0,3858357888833.33,5652407856000.0,7948230704166.67,11007846944500.0,14184968770166.66,17195152601833.34,20796594351750.0
