Country,1971-1976,1977-1982,1983-1988,1989-1993,1994-1998,1999-2003,2004-2008,2009-2013,2014-2018,2019-2023
Lithuania,,,,,8320492007.66,12057521223.61,29973827520.43,37469346261.91,42235876112.21,58964670595.32
Germany,365366656819.91,721731438452.6,910655846594.99,1682362913482.18,2126614224424.59,1926075707370.48,2856136508011.26,3201290909943.81,3310559424941.98,3734520420497.47
Belarus,,,,12100000000.0,12962355848.15,11964580320.38,33721970704.38,54569703949.5,51739969522.81,59897032122.41
Portugal,14571064501.03,26410696917.05,33937709023.45,77470912655.07,102212403596.97,116819255080.89,191026167161.41,205802555845.78,190994759666.27,219884043788.99
Uganda,1859983480.05,2008034605.71,4088791391.97,3584516859.36,5228616131.67,5741619741.03,10071500891.2,27633274910.62,29559292678.75,38581805279.12
Serbia,,,,,19415538181.26,13870900569.59,30295475341.16,38366241842.2,36996802451.73,50963345620.55
Bosnia and Herzegovina,,,,,2360845638.5,5158343686.91,11168690459.84,14623843893.7,15049087500.09,19449383452.3
Pakistan,9141516806.81,20301398184.05,29141904267.49,40324735394.15,54761185707.24,88738916800.18,158079160402.88,216704613829.32,297532283641.49,317358026590.58
South Africa,32838163621.17,67252710181.76,80415652411.68,122550299353.65,149664930252.96,140857859792.28,271844016513.04,372090906959.86,331706268375.67,347859306275.41
Slovakia,,,,14983665963.93,23026562479.98,30717793090.31,67640850928.81,85809709586.99,86697333330.78,104043192452.57
Bahrain,,3261729436.11,3659175531.91,,,,21762703900.71,27874393617.02,33690761648.94,38691970478.72
Poland,,,,,140488784735.19,167939104724.38,327336576946.25,432753345160.39,458340697598.83,598477967128.1
United Kingdom,189334497020.2,415199537114.61,558120804503.03,957073269794.82,1285850524865.86,1589929297180.18,2468033369880.43,2343774583151.12,2538258624416.26,2717239094482.0
Costa Rica,1647381463.24,3448838124.41,4048836710.65,6841916762.46,10979923444.92,14336038791.39,21488109334.06,38355917827.37,53530522723.69,64203393716.2
Côte d'Ivoire,,,,,,,,,47521371528.44,64088657683.23
Monaco,,,,,,,,5938580666.36,6682007982.61,7883420009.85
Samoa,,,,,,,,657329418.84,724636868.81,735677972.54
Faroe Islands,,,,,955971553.96,1062439614.41,1776092326.66,2150555192.21,2574694784.4,3043587693.82
"Venezuela, Bolivarian Republic of",23632238107.82,58957705426.36,56828961755.63,50328214267.84,70137394723.48,96071453970.56,182903856935.87,330023182901.03,429744677604.15,
Dominican Republic,2440783350.0,5648866733.33,6352332158.6,8903062163.06,16769846558.53,22088972639.27,35012898137.93,52998705579.88,70596996032.02,92640239375.38
Bangladesh,10867456118.33,15666941329.23,21414716027.94,30295988641.19,41307449209.04,52015319653.58,71754699841.72,119825796467.37,238385013310.31,392574276911.73
Rwanda,379705379.41,1138462854.68,1880060506.62,2173472236.44,1454081637.37,1885450164.98,3249210358.3,6224712123.0,8112588779.16,10890865856.74
Qatar,,,,,,,,183495391868.13,172387241791.21,183094899467.77
Austria,27847270371.06,60953944005.41,83379127026.58,152433477319.53,198823828939.78,194289160263.87,316704314573.27,367974411088.9,373456417896.21,420488884709.42
Cabo Verde,,,,,,,1576256951.25,1704968225.83,1728813899.59,1906014097.95
Gabon,,,,,,5165850870.62,10515240450.81,14326769595.14,14396043291.27,17836837424.05
Kuwait,,,,,29352330863.35,37726490483.89,100091206918.97,154454271968.48,138440659261.68,151679356215.6
Zambia,2150977422.13,3088202150.37,2384936492.59,3066581309.9,3320161155.57,3582763615.22,10800320280.84,21210793112.12,22766354347.28,22814424076.22
