Country,1971-1977,1978-1983,1984-1989,1990-1995,1996-2001,2002-2007
France,7.35,12.13,6.26,4.78,5.58,6.58
United States,10.61,14.9,14.35,10.84,8.04,6.85
Ireland,,,12.82,14.5,20.88,27.71
New Zealand,6.69,5.22,2.35,3.25,6.3,8.31
Australia,4.81,3.47,2.18,5.01,8.78,10.26
Germany,1.93,2.45,1.99,2.69,2.89,3.87
Greece,,,,12.65,12.13,13.81
Portugal,,,,5.95,8.56,5.39
Canada,1.97,1.99,3.39,5.28,4.61,13.84
Italy,7.66,8.94,9.11,8.44,9.9,13.23
Finland,6.92,3.83,11.6,5.57,8.61,9.36
Luxembourg,,,,31.73,27.71,24.21
Sweden,14.62,9.69,10.13,13.67,9.26,9.58
Austria,2.43,0.16,1.84,5.02,12.13,7.98
Japan,1.38,4.54,3.76,2.58,3.22,4.04
Spain,,,,8.99,14.33,8.94
Netherlands,6.27,6.69,4.74,6.91,9.24,7.89
Belgium,11.74,11.6,11.44,10.3,18.36,13.02
Denmark,12.43,12.54,4.77,14.25,10.1,10.18
