Country,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2019,2020-2020,2021-2021,2022-2022
Faroe Islands,2.64,0.64,,,,,,,,
United Arab Emirates,3.31,,3.77,6.89,3.96,2.88,3.0,5.38,8.96,9.29
Yemen,,0.58,0.67,2.38,4.83,,,,,
Saint Kitts and Nevis,,0.66,17.94,31.38,24.52,34.6,,,,
Ireland,31.1,25.04,25.25,24.95,30.59,27.17,25.98,25.9,28.48,40.69
France,20.77,25.19,25.88,27.3,28.05,25.96,26.91,23.12,21.88,20.76
Jordan,1.03,2.14,2.46,1.74,2.98,1.66,1.37,1.54,1.71,1.45
Togo,0.04,0.06,0.18,0.19,0.21,0.42,0.05,0.24,0.33,0.3
Cuba,,,,,34.99,16.23,,,,
United Kingdom,20.73,21.87,23.37,22.88,22.93,22.46,23.08,23.0,23.85,26.52
Mauritania,,,,,0.0,,0.01,2.05,5.08,3.98
Eswatini,0.35,0.25,0.07,0.09,0.22,0.61,0.27,0.34,0.33,
Burkina Faso,,16.89,9.71,12.54,5.45,5.82,25.79,3.4,2.26,1.89
Denmark,17.62,17.2,15.55,15.77,16.02,12.43,12.04,13.23,13.77,15.81
Solomon Islands,,,,,2.27,1.19,,,,
Philippines,,,,,,60.83,62.25,67.04,64.23,66.61
"Korea, Republic of",31.28,32.07,28.2,29.94,30.87,34.47,32.4,35.72,36.13,16.94
Spain,5.59,6.51,6.92,6.94,7.34,6.88,6.85,7.77,9.39,12.41
Honduras,1.44,2.47,2.26,2.58,2.07,2.54,1.96,4.07,1.45,
Congo,,,,1.09,1.04,2.27,6.34,4.55,6.54,
