Country,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014,2015-2019,2020-2023
Northern Mariana Islands,,,,,467862436.32,635465477.24,676462046.67
Dominica,,,,508849121.25,550471621.48,640603403.73,
Romania,54147253861.08,72759129239.84,94027990797.41,157899063721.79,205928477441.65,288435777343.93,421778108746.98
Cameroon,14973673309.69,18065042028.88,25605751293.32,35237010753.65,46856451632.87,65674781445.64,94480406119.48
Georgia,9990406795.38,8998160551.59,10969466174.28,19181193469.31,26590874389.44,32233802805.17,46020064323.9
Finland,41554237801.11,51491520050.34,66373351593.38,88330897035.66,109378381212.23,128803903850.47,156325436919.8
Dominican Republic,20776366673.55,29051836484.31,38233967152.85,57996562637.53,84313362682.3,113684622632.25,163577177987.59
"Korea, Republic of",241725757992.16,363416718668.88,488655968818.39,643962372194.72,776393692874.88,892495248428.15,1054642719061.99
Chile,39341854066.3,61653798026.49,79509085097.26,133078152083.29,197832997477.54,242943615461.74,314408781935.86
"Palestine, State of",,7232631179.79,8487499190.56,12039499042.24,16941401061.48,23898068672.43,29122422064.37
Latvia,8085910652.92,8905534850.74,12665931968.56,20137976419.23,22939773808.74,29096918794.67,37181639809.08
Oman,,,18725896143.43,32370624020.91,45017807183.0,56274591287.3,68334451235.17
Tajikistan,,,3432813539.62,10302693375.92,21027580625.39,18719690783.14,23489616008.82
Austria,91060343881.41,110096584109.68,134834592420.06,167499378060.54,198881088480.14,233058420559.8,288681593537.48
Iraq,44586665095.57,47539015330.97,71743300052.64,108138990563.74,187118997681.47,204804072263.13,211817956406.34
Sweden,87256028654.45,101967029460.55,128467655809.93,161649411296.8,194917204156.27,225685608562.01,280931454987.14
American Samoa,,,,,463690281.44,517625479.87,628719689.91
Cambodia,7003944608.49,9362198168.19,13567839666.21,21913576224.87,30691312109.35,42597546591.08,44359338786.57
Botswana,2326715517.3,3258743074.23,4919043040.29,7001018555.28,10703237135.67,14002516927.53,18691448737.74
