Country,1970-1975,1976-1981,1982-1987,1988-1993,1994-1998,1999-2003,2004-2008,2009-2013,2014-2018,2019-2023
Solomon Islands,,,,,,66.84,64.29,63.01,61.96,62.04
Angola,,,,,,42.23,32.48,36.99,53.36,49.9
Dominican Republic,76.41,79.52,79.76,80.84,76.31,71.18,71.79,74.62,70.15,66.82
Tonga,88.9,93.71,98.53,96.51,93.54,92.76,100.28,96.38,97.51,98.04
Malaysia,58.53,51.33,50.96,50.29,45.8,44.21,44.48,49.28,54.8,59.35
Morocco,71.54,65.38,61.67,59.94,60.81,53.0,52.06,54.76,59.77,60.28
Bahrain,,28.48,29.33,42.48,47.39,45.64,37.63,39.99,42.72,40.56
"Korea, Republic of",71.43,61.77,56.09,50.35,52.14,54.54,52.39,51.02,48.4,47.6
Bulgaria,,52.0,50.8,59.12,65.38,67.29,67.64,63.57,61.09,58.69
Czechia,,,,49.46,49.74,50.1,47.38,49.18,47.54,45.96
"Venezuela, Bolivarian Republic of",55.53,62.46,66.22,65.22,61.07,54.48,49.12,59.66,75.29,
New Zealand,61.89,58.79,57.39,58.93,58.61,57.63,57.62,58.12,57.61,57.53
Costa Rica,71.57,65.29,60.21,67.16,71.37,67.13,69.3,66.33,65.05,64.07
Zambia,,,,,,,,53.82,49.25,37.79
Equatorial Guinea,,,,,,,17.44,22.56,42.03,53.88
China,51.79,50.83,51.52,47.98,45.62,45.22,37.92,35.16,38.04,38.24
