Country,1990-1994,1995-1999,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023
Tunisia,9664131047.32,14877322082.96,21127495757.67,28736361383.56,40241428130.79,56479997700.0,77622300000.0,102194475000.0
United States,4224590200000.0,5580996400000.0,7232667500000.0,9006214000000.0,10225103500000.0,11651871000000.0,13592382749999.98,15920313333333.34
Chad,503316863617.82,818273487748.47,1293734936877.66,2413976425391.73,3366331031025.01,4491935878550.0,4759611709200.01,5604747264250.0
Namibia,5916634018.86,11477065800.0,20640573875.0,29540091525.0,51897113525.0,83634245200.0,122719216775.0,145921330081.25
Rwanda,247096133372.79,549167646815.27,804383750000.0,1413367750000.0,2815716750000.0,4280817250000.0,5998891500000.0,9391411750000.01
Egypt,99520000000.0,196960000000.0,278100000000.0,427100000000.0,844150000000.0,1658875000000.0,3447325000000.0,6433575000000.01
Marshall Islands,,,,115433434.61,126264471.05,143043953.78,162754285.22,175509128.09
Papua New Guinea,3352274527.95,6184720919.02,8853953623.77,10210219136.5,,,,
Bhutan,4273195556.03,8882633166.91,9063750000.0,15621750000.0,29282000000.0,49698750000.0,83034670000.0,112232090000.0
China,1388595454192.0,3578196807920.0,5267120845250.0,8023803169250.0,13690820337500.0,22487575124375.0,33766753407750.0,42522301561366.72
Gabon,843471380909.0,1207568921515.12,1338371886000.78,1585683000000.0,2105784932725.0,2926140931100.0,3542050928825.0,3809285636600.01
Jordan,2541060000.0,3686680000.0,5186525000.0,8506425000.0,13018500000.0,20267500000.0,23244500000.0,25342000000.0
Equatorial Guinea,,,,965024408900.0,1747915964775.0,2786789000000.0,3445750000000.0,3707238552300.0
Seychelles,1178584336.15,1413884740.0,1296234550.0,2265957725.0,6036684475.0,9187434450.0,15267707350.0,20530005575.0
"Congo, The Democratic Republic of the",59078500.0,12481595980.0,2263525930250.0,5322350996674.99,13593107072100.0,24101771820750.0,49244617710500.0,79057166881124.03
Turkmenistan,364960.59,4314884198.56,5375725657.55,8603613375.0,9100765350.0,15110790900.0,,
