Country,1971-1974,1975-1978,1979-1982,1983-1986,1987-1990,1991-1994,1995-1998,1999-2001,2002-2004,2005-2007,2008-2010
Greece,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04
Romania,0.03,0.04,0.05,0.04,0.05,0.05,0.07,0.06,0.06,0.07,0.07
Morocco,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Azerbaijan,,,,,0.01,0.02,0.02,0.02,0.02,0.03,0.03
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.02,0.05,0.06,0.08,0.07,0.08,0.09,0.09,0.1,0.1
Pakistan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01
Iceland,0.79,0.95,1.17,1.34,1.42,1.44,1.6,1.93,2.1,2.16,3.39
El Salvador,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
Zimbabwe,0.05,0.07,0.05,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03
Kenya,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0.05,0.05,0.06,0.08,0.08,0.1,0.1,0.1,0.12,0.14,0.12
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syrian Arab Republic,0.0,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01
