Country,2000-2003,2004-2006,2007-2009,2010-2012,2013-2015,2016-2018,2019-2021
Sri Lanka,3.99,4.74,3.74,3.4,3.8,4.84,5.4
Angola,,,3.76,3.52,2.91,2.42,3.29
Uganda,6.56,7.38,8.53,7.29,4.96,4.09,3.27
Palau,,,3.88,3.24,4.0,3.06,
Libya,,,4.45,3.58,,4.95,5.73
Bahamas,3.64,3.05,2.43,3.15,3.15,3.28,2.67
Mauritania,4.33,1.33,1.64,1.2,0.82,1.28,0.76
Faroe Islands,4.97,5.1,4.54,,,,
India,6.71,7.86,6.42,5.86,6.88,9.41,9.89
Pakistan,4.47,7.36,4.93,3.75,4.42,4.52,5.6
Gambia,3.63,5.13,3.68,2.25,1.7,0.64,0.96
Netherlands,17.8,18.61,14.01,13.24,12.79,13.34,13.75
Uzbekistan,,,,,,2.32,3.73
Japan,15.19,13.45,10.84,10.79,11.65,12.66,13.15
Côte d'Ivoire,3.18,3.82,3.79,2.96,2.27,3.49,3.12
Cuba,5.02,3.05,,,,,
Singapore,39.31,20.58,27.35,24.54,24.87,27.53,30.87
Aruba,,,4.84,4.6,5.42,4.98,4.61
Slovakia,6.4,8.15,14.09,13.84,14.64,14.38,12.95
Bahrain,3.12,2.15,2.13,3.59,3.92,4.31,4.14
Serbia,,,4.54,3.98,3.62,3.52,4.02
Mexico,17.87,17.7,16.41,17.67,16.58,15.55,16.09
Sierra Leone,0.5,,,,2.96,1.86,
Yemen,,2.75,2.02,1.12,1.2,1.82,2.34
Australia,13.0,11.71,9.87,9.69,9.34,9.97,10.44
Mauritius,5.01,10.1,5.49,4.84,8.71,6.32,5.42
New Zealand,10.24,9.45,8.31,7.95,7.43,7.46,7.76
Albania,4.72,3.6,3.8,3.55,2.52,1.99,2.04
Portugal,8.24,8.23,7.41,5.25,4.77,5.58,6.69
