Country,1968-1974,1975-1981,1982-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
Argentina,6.0,6.45,6.21,6.82,11.51,14.02,16.89,13.72,14.83
Vanuatu,,37.23,57.65,56.95,50.64,50.56,53.43,57.9,52.19
Nicaragua,32.19,35.81,23.65,53.91,34.3,42.04,59.67,60.54,55.43
Cuba,44.18,44.19,44.15,31.96,16.86,15.59,19.25,16.03,24.92
Ukraine,,,,26.61,45.5,49.81,48.81,54.3,47.84
Côte d'Ivoire,30.46,38.25,33.17,27.51,28.0,26.8,31.23,26.86,24.1
Mauritius,,56.52,52.75,66.81,64.23,58.33,63.69,57.57,53.69
Cameroon,24.6,27.52,27.36,15.63,18.56,23.29,25.64,24.42,21.07
Central African Republic,38.55,35.39,32.53,25.46,26.7,21.16,22.46,32.17,32.55
Armenia,,,,57.12,58.7,46.54,42.06,46.35,50.2
Cyprus,,62.88,58.81,56.02,64.57,60.31,57.84,65.26,83.58
Sierra Leone,27.47,31.31,19.2,26.09,23.42,31.53,32.59,51.83,46.43
Bhutan,,45.14,49.18,45.14,47.62,51.41,59.76,54.95,49.5
Senegal,26.31,34.68,35.35,26.38,30.45,33.12,36.2,36.37,43.2
Indonesia,17.53,22.15,23.63,24.7,29.71,28.04,24.56,22.07,19.34
Bangladesh,11.78,14.49,13.34,12.8,16.02,17.36,23.68,23.26,18.32
Syrian Arab Republic,24.12,34.94,25.37,32.44,36.35,32.94,33.95,39.29,42.85
Malta,76.95,85.05,76.36,86.95,116.68,114.27,145.29,145.76,149.17
Burundi,13.6,20.17,24.01,26.97,20.23,20.59,32.83,25.85,23.08
Switzerland,39.84,41.57,43.45,39.88,39.55,45.13,53.53,57.08,59.48
kos,,,,,,,59.94,53.06,62.45
Zambia,,,,,33.77,36.55,30.24,39.05,34.3
Kyrgyzstan,,,,43.74,50.03,46.87,82.96,81.14,65.91
Greenland,,,,,,52.34,67.51,50.73,48.23
Nepal,9.14,15.95,20.13,24.0,33.82,30.28,32.64,34.14,38.52
