Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
Honduras,0.56,0.66,0.56,0.36,0.17,0.08,0.04,0.03,0.03,0.03,0.03
Nepal,0.01,0.02,0.1,0.15,0.14,0.1,0.07,0.05,0.03,0.02,0.01
Ecuador,0.19,0.36,0.5,0.5,0.4,0.33,0.31,0.31,0.3,0.27,0.23
Afghanistan,0.02,0.03,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04
Central African Republic,10.23,10.19,7.96,5.68,4.37,3.63,3.07,2.92,2.72,2.47,2.36
Georgia,0.01,0.01,0.01,0.03,0.06,0.07,0.08,0.08,0.08,0.08,0.07
North Macedonia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Mali,2.74,2.64,2.09,1.62,1.29,1.08,0.95,0.79,0.69,0.58,0.46
Luxembourg,0.08,0.06,0.06,0.06,0.07,0.07,0.08,0.09,0.09,0.08,0.07
Jordan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Liberia,3.97,3.21,2.58,2.16,1.73,1.36,1.08,0.86,0.69,0.55,0.48
Senegal,0.22,0.38,0.55,0.56,0.35,0.22,0.13,0.1,0.07,0.07,0.06
Montenegro,0.01,0.02,0.03,0.03,0.05,0.07,0.1,0.12,0.13,0.12,0.1
Italy,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.03
"Iran, Islamic Republic of",0.01,0.02,0.05,0.09,0.15,0.12,0.08,0.05,0.04,0.04,0.04
Peru,0.3,0.26,0.19,0.15,0.13,0.12,0.09,0.08,0.1,0.11,0.11
Qatar,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03
Burkina Faso,2.98,2.06,1.4,1.01,0.75,0.58,0.42,0.29,0.2,0.12,0.09
Chile,0.1,0.18,0.25,0.24,0.17,0.16,0.25,0.34,0.38,0.4,0.41
Belgium,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.07,0.06,0.05,0.04
South Sudan,2.0,2.67,2.81,2.47,2.27,2.01,1.86,1.77,1.78,1.54,1.21
Chad,3.02,3.1,2.51,1.93,1.56,1.26,0.98,0.85,0.74,0.55,0.37
Indonesia,0.01,0.03,0.1,0.28,0.56,0.64,0.62,0.56,0.44,0.35,0.28
