Country,1800-1955,1956-1964,1965-1973,1974-1982,1983-1991,1992-2000,2001-2009,2010-2018
Liberia,570.4,633.29,746.3,649.28,532.64,604.24,431.82,539.71
South Sudan,1285.49,1873.78,1724.78,1872.89,1554.56,1611.44,2311.56,2801.0
Syrian Arab Republic,1596.67,2157.11,2233.67,3541.22,3382.89,3889.0,4158.89,4520.67
Sao Tome and Principe,825.58,984.67,1449.44,1741.0,1540.78,1365.78,1528.67,2796.11
"Taiwan, Province of China",1327.4,2025.33,3642.78,6680.11,11689.89,19725.56,26150.0,35525.56
Colombia,1656.87,2412.78,2926.11,4025.22,4872.11,5837.67,6426.78,8567.33
Timor-Leste,615.28,,1245.0,,2339.0,3077.56,2485.56,4059.33
Indonesia,706.37,824.97,940.36,1415.22,1805.89,2730.22,3261.89,4859.0
Jamaica,2531.33,5009.67,6805.0,6632.44,6492.67,7243.0,7139.56,7112.33
Aruba,737.93,,4769.0,8154.22,18357.78,26407.78,26183.33,22765.0
Russian Federation,4031.29,6899.0,9364.11,11408.89,12447.78,8260.44,11899.44,16754.44
Kazakhstan,2732.02,4675.56,6346.0,7312.0,7177.56,4980.56,8599.89,13300.0
Cuba,4170.5,5392.44,5255.33,6586.22,7460.56,5334.11,7693.22,9905.67
gbg,1556.3,,17450.0,21050.0,32240.0,37930.0,47333.33,
Somalia,964.26,1299.67,1199.44,1200.2,1073.56,924.14,917.17,950.53
