Country,2004-2006,2007-2009,2010-2012,2013-2014,2015-2016,2017-2018,2019-2021
Thailand,48.9,46.8,45.97,44.8,44.15,43.95,42.75
Cameroon,,49.1,,51.7,,,47.9
Italy,40.93,40.53,41.6,41.2,41.4,41.8,41.35
China,47.1,48.4,48.3,46.05,45.35,45.65,45.3
Armenia,43.1,38.63,38.9,39.75,40.45,42.7,38.45
Bhutan,,45.1,46.1,,,44.4,
South Sudan,,50.6,,,49.6,,
Nigeria,,,42.9,,43.1,42.4,
Hungary,39.23,36.33,37.97,39.05,38.4,38.15,37.95
Slovakia,36.57,35.4,35.47,35.5,34.5,33.2,33.05
Papua New Guinea,,47.3,,,,,
Mauritania,47.4,42.4,,40.2,,,40.0
Colombia,59.5,59.25,58.23,57.25,55.65,55.1,58.0
Mali,46.1,41.3,,,,43.8,43.9
Czechia,36.73,36.3,36.23,36.2,35.85,35.45,36.0
Maldives,,45.0,,,39.8,,38.5
Suriname,,,,,,,
Ukraine,38.23,36.13,35.03,34.85,35.35,36.05,36.5
"Tanzania, United Republic of",,47.2,45.8,,,48.1,
Mongolia,,43.4,41.6,40.3,40.6,40.9,
North Macedonia,,47.1,43.63,41.35,40.55,39.25,39.0
Belarus,36.5,37.4,36.63,36.45,35.5,35.5,35.4
Ireland,41.3,40.1,40.67,40.7,40.7,39.85,39.45
"Micronesia, Federated States of",48.7,,,46.0,,,
Benin,,,50.7,,52.1,45.5,42.3
