Country,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019,2021-2021
Mongolia,,15.8,,16.3,16.3,16.7,,16.6,,16.5,,
Japan,,,17.0,16.5,16.6,,,,,,,
Belarus,17.85,17.5,17.7,17.65,17.85,17.7,18.0,17.9,17.9,17.8,17.9,
Ukraine,17.25,17.3,17.7,17.95,17.9,18.0,17.8,17.9,17.8,17.8,17.5,
Australia,16.4,,15.9,16.1,,16.1,,16.4,,16.4,,
Mauritania,14.7,,16.3,,,16.9,,,,,16.8,
Mali,,14.9,16.2,,,,,,,15.4,,15.4
Saint Lucia,,,,,,,13.8,,,,,
Norway,16.5,17.75,17.8,18.1,18.0,17.9,17.7,17.6,18.0,17.8,17.7,
Belize,,,,,,,,,,,,
Mexico,12.55,12.7,12.5,13.1,12.6,12.7,,13.2,,13.4,,
Finland,17.25,17.25,17.4,17.35,17.45,17.6,17.5,17.5,17.4,17.5,17.4,17.4
Suriname,,,,,,,,,,,,
Croatia,,,17.3,17.45,17.4,17.5,17.8,17.8,18.0,17.8,18.1,17.9
"Moldova, Republic of",15.95,16.2,16.35,16.75,17.2,17.4,17.5,17.4,17.6,17.5,17.5,17.6
Nicaragua,12.8,,14.1,,,13.7,,,,,,
Malawi,14.5,,,13.4,,,,13.3,,,14.9,
Uganda,13.8,,13.5,,14.3,,,13.8,,,14.1,
Italy,17.0,17.1,17.1,16.95,16.95,17.2,17.2,17.1,16.9,17.0,17.1,16.9
Cyprus,16.95,16.7,16.5,16.3,15.45,15.8,16.2,16.3,16.7,16.2,16.7,16.8
Uruguay,13.9,13.45,13.8,14.35,15.35,15.4,15.4,15.4,15.4,15.3,15.4,15.1
Togo,,13.9,,13.4,,,14.4,,,14.2,,15.4
Niger,13.7,14.8,,16.2,,16.0,,,,15.0,,15.9
Argentina,13.65,14.2,14.75,14.95,15.45,15.1,,15.1,15.3,15.3,14.9,14.9
