Country,2004-2005,2006-2007,2008-2009,2010-2011,2012-2012,2013-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019
Kiribati,,2.6,,,,,,,,,,4.0
Latvia,2.1,2.35,2.0,2.2,2.3,2.3,2.3,2.5,2.5,2.3,2.5,2.6
Niger,2.3,3.2,,3.8,,,3.2,,,,3.2,
Zambia,1.3,1.3,,1.6,,,,1.1,,,,
Eswatini,,,1.5,,,,,,1.4,,,
Nicaragua,1.9,,2.0,,,,2.0,,,,,
Panama,0.8,0.85,1.1,1.1,1.0,1.1,1.0,1.1,1.1,1.1,1.2,1.2
Montenegro,,,,,1.6,1.7,1.8,1.8,1.7,1.5,1.8,
Fiji,,,2.7,,,3.1,,,,,,3.5
Seychelles,,,,,,1.9,,,,,2.6,
Egypt,3.9,,3.9,4.1,4.3,,,3.9,,3.8,,3.8
Tuvalu,,,,2.7,,,,,,,,
Paraguay,1.35,1.25,1.45,1.25,1.5,1.6,1.4,1.6,1.6,1.8,1.7,1.8
Bangladesh,3.8,,,3.9,,,,,3.7,,,
United Arab Emirates,,,,,,2.3,,,,,4.0,
Sri Lanka,,3.0,3.3,,3.0,,,,3.0,,,3.1
Spain,2.45,2.35,2.2,2.0,2.0,1.8,1.8,1.9,1.8,2.1,2.1,2.0
Vanuatu,,,,2.7,,,,,,,,3.0
Israel,1.8,1.8,1.7,1.8,1.6,1.8,1.7,1.8,1.9,1.8,1.9,
Lao People's Democratic Republic,,3.3,,,3.2,,,,,,3.0,
Austria,3.45,3.25,2.9,3.0,2.8,3.1,3.1,3.0,2.8,3.0,2.9,2.9
Mexico,1.45,1.6,1.4,1.6,1.6,,1.7,,1.7,,1.8,
Poland,2.15,2.65,2.8,2.8,2.8,2.7,2.7,2.8,3.0,3.2,3.2,3.4
Colombia,1.2,,1.05,1.15,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.2
Jamaica,2.1,,,,,,,,,,,
United Kingdom,2.85,2.8,2.8,3.05,3.0,3.1,3.0,3.0,2.9,2.9,2.8,2.8
