Country,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019
Armenia,7.85,8.65,9.25,9.05,8.8,8.4,8.2,7.9,8.4,8.1,8.9
Mali,,6.4,8.0,,,,,,,7.5,
Madagascar,6.7,,,6.1,5.7,,,,,,
Ecuador,3.2,3.6,3.95,4.25,4.4,4.8,4.6,4.7,4.7,4.6,4.5
Guinea-Bissau,,,,4.5,,,,,,7.8,
Cabo Verde,,5.0,,,,,5.7,,,,
"Bolivia, Plurinational State of",2.55,2.6,3.2,3.8,3.5,3.8,3.9,3.7,3.9,4.5,5.1
Sudan,,,6.8,,,7.8,,,,,
Gambia,,,,5.7,,,7.4,,,,
Guyana,,,,,,,,,,,
Maldives,,,6.4,,,,,8.3,,,8.9
Algeria,,,,9.4,,,,,,,
Jordan,,8.0,8.4,8.2,,,,,,,
Congo,4.9,,,4.2,,,,,,,
"Congo, The Democratic Republic of the",5.7,,,,5.5,,,,,,
Egypt,9.0,,9.2,9.4,9.8,,9.1,,9.0,,9.0
Djibouti,,,,,4.6,,,,5.4,,
Rwanda,4.5,,,5.6,6.0,,,6.0,,,
Gabon,5.8,,,,,,,,6.0,,
Nigeria,,,,7.1,7.1,,7.0,,,7.1,
South Africa,2.6,,2.6,2.5,,2.4,,,,,
Estonia,7.25,7.75,7.75,7.25,7.05,7.0,7.5,7.8,8.1,8.1,8.1
Lesotho,,,,,,,,,4.6,,
Kenya,5.0,,,,,,6.2,,,,
