Country,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2016,2017-2017,2018-2018,2019-2019,2020-2020
Zambia,62.5,60.95,59.4,62.5,68.8,68.8,68.8,68.8,68.8,68.8
"Palestine, State of",67.22,57.82,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8
Mozambique,67.22,60.95,56.3,56.3,56.3,50.0,50.0,50.0,50.0,50.0
Nepal,57.85,60.95,56.3,50.05,56.3,56.3,56.3,56.3,56.3,56.3
Türkiye,40.62,50.0,50.0,50.0,56.3,56.3,56.3,50.0,50.0,56.3
Oman,50.0,48.45,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8
Syrian Arab Republic,65.68,56.3,56.3,53.15,46.9,43.8,43.8,43.8,43.8,43.8
Myanmar,56.3,56.3,56.3,56.3,62.55,68.8,56.3,56.3,56.3,43.8
Germany,87.5,85.95,81.3,81.3,81.3,75.0,75.0,75.0,75.0,81.3
Gabon,53.18,43.8,46.9,50.0,50.0,56.3,50.0,50.0,50.0,50.0
Poland,56.3,53.18,43.8,43.8,53.15,43.8,43.8,43.8,43.8,56.3
Cambodia,50.0,50.0,50.0,56.3,53.15,50.0,56.3,56.3,56.3,56.3
Finland,87.5,89.08,90.65,87.5,87.5,87.5,87.5,87.5,87.5,87.5
"Congo, The Democratic Republic of the",35.95,31.3,31.3,31.3,37.55,43.8,37.5,31.3,31.3,31.3
"Tanzania, United Republic of",56.3,56.3,56.3,56.3,56.3,62.5,56.3,56.3,56.3,62.5
Panama,56.3,54.72,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Spain,87.5,84.38,75.0,75.0,75.05,81.3,75.0,75.0,81.3,81.3
Libya,50.0,50.0,56.25,59.4,56.3,56.3,56.3,50.0,43.8,37.5
