Country,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2019,2020-2020
Ghana,44.4,45.8,50.0,52.8,61.15,63.9,66.7,66.7
Sudan,16.7,20.85,33.3,38.85,41.65,33.35,41.7,44.4
Kenya,55.6,52.8,44.4,52.75,63.9,66.7,66.7,66.7
Equatorial Guinea,12.5,16.7,19.45,22.2,19.45,25.0,33.3,33.3
Switzerland,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
Brazil,44.4,45.8,50.0,50.0,50.0,58.35,63.9,61.1
Cameroon,26.4,23.6,27.8,36.1,38.9,38.9,33.3,33.3
"Moldova, Republic of",61.1,61.1,58.35,55.6,61.15,61.1,61.1,61.1
Denmark,88.9,88.9,88.9,88.9,83.3,83.3,83.3,83.3
Singapore,27.8,27.8,27.8,36.1,52.8,61.1,55.55,44.4
Canada,77.8,77.8,77.8,77.8,77.8,77.8,77.8,88.9
Mauritania,27.75,43.02,44.45,50.0,50.0,50.0,50.0,50.0
"Palestine, State of",77.8,79.18,80.55,77.8,77.8,77.8,77.8,77.8
Sierra Leone,23.6,27.8,27.8,27.8,27.8,30.55,33.3,33.3
Russian Federation,55.6,54.2,50.0,50.0,50.0,50.0,50.0,50.0
Mongolia,38.9,38.9,38.9,44.4,50.0,52.8,55.6,55.6
Netherlands,94.4,93.02,88.9,88.9,88.9,83.3,83.3,83.3
Rwanda,20.82,16.7,16.7,22.2,22.2,25.0,27.8,27.8
