Country,1961-1966,1967-1972,1973-1978,1979-1984,1985-1990,1991-1996,1997-2002,2003-2008,2009-2013,2014-2018,2019-2023
Madagascar,3.45,3.17,10.79,25.11,14.62,23.48,8.98,9.86,7.69,7.09,6.95
Antigua and Barbuda,,,8.83,9.45,7.58,3.07,2.01,2.8,0.81,1.17,3.55
Latvia,,,,,,204.46,3.87,11.24,0.37,1.95,5.46
Pakistan,2.49,4.52,15.58,8.32,6.17,11.16,17.45,7.27,11.34,4.09,13.87
Tunisia,13.34,3.64,9.49,11.71,5.55,5.28,5.04,3.75,5.24,5.29,5.94
Comoros,,,,10.62,4.63,4.19,2.74,3.1,2.35,0.85,2.66
Mongolia,,,,-0.07,3.59,120.22,9.91,17.02,14.36,5.96,13.06
Iceland,11.95,14.11,37.12,50.07,22.97,3.62,4.93,5.22,5.17,3.21,5.92
Tuvalu,,6.79,6.87,6.66,5.22,4.29,5.11,2.75,1.04,5.83,4.71
Indonesia,97.25,57.02,22.71,17.92,8.42,10.28,23.77,11.98,7.94,3.99,3.66
Panama,1.32,2.61,7.77,6.17,0.42,2.05,0.82,3.19,5.32,2.95,1.14
Belize,2.93,2.7,10.67,4.45,8.8,2.26,-0.1,1.92,1.45,1.27,3.61
"Palestine, State of",,,,,,5.2,0.34,3.37,5.81,0.83,2.55
Togo,0.3,2.84,10.58,8.98,2.87,8.34,4.9,2.43,1.86,0.74,2.23
Canada,2.91,4.8,9.8,8.2,3.97,1.87,1.68,3.25,1.35,1.2,3.91
Grenada,,,17.27,5.59,5.65,3.58,1.67,3.21,1.51,1.4,2.06
Seychelles,0.23,6.66,16.58,10.57,4.02,0.03,4.06,12.59,8.64,1.78,1.74
Kuwait,,13.88,34.3,14.07,-1.35,1.48,2.36,12.87,3.77,-2.41,4.78
