Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2021
Estonia,9.73,18.71,13.78,10.43,10.3,7.16,5.64,4.54,3.02,2.09,2.56
Puerto Rico,21.23,25.52,19.91,18.56,21.62,20.94,25.51,28.41,19.28,20.28,16.99
Rwanda,,,,,,3.13,2.15,2.8,3.19,3.09,3.59
Guam,,,,3.1,3.87,3.85,1.82,2.41,,4.15,
French Polynesia,,,,,,1.8,1.78,,,,
Chile,,,,,3.23,3.64,3.48,3.13,2.75,4.2,4.21
Georgia,9.19,12.23,5.73,5.83,7.33,8.94,5.7,,1.03,2.27,
Mozambique,,,,6.04,5.58,4.56,4.0,3.57,,,
South Sudan,,,,,,,,14.05,,,
North Macedonia,,,2.38,2.29,2.88,2.11,1.8,1.29,1.25,1.26,
Colombia,81.03,73.65,62.27,66.89,58.66,41.16,35.67,34.95,27.25,25.81,25.86
Belize,,,,21.43,29.47,31.13,34.87,36.46,35.18,36.59,28.54
Greenland,23.34,17.34,11.89,24.3,16.46,15.26,17.13,9.5,6.56,,
Maldives,0.44,0.77,2.23,2.44,2.74,0.92,1.62,1.38,2.44,3.9,
Croatia,6.63,3.66,2.44,2.14,1.68,1.54,1.38,1.12,0.92,0.82,0.89
Marshall Islands,7.4,4.01,,,,,,,,,
Serbia,,,,2.97,2.28,2.03,1.85,1.66,1.48,1.25,1.1
Tuvalu,,,,,0.0,0.0,3.16,13.89,,0.0,
Dominica,,,13.06,4.86,12.18,9.7,16.96,8.73,16.22,21.18,17.32
Vanuatu,,,,,,,,,,0.66,0.32
