Country,2001-2003,2004-2006,2007-2009,2010-2012,2013-2015,2016-2017,2018-2019,2020-2021
Türkiye,1.77,1.72,1.68,1.69,1.04,1.06,1.02,0.97
Bosnia and Herzegovina,1.26,,0.76,0.87,0.79,0.71,0.52,0.36
Austria,0.82,0.67,0.64,0.82,0.52,0.76,0.93,0.85
Botswana,,,,,,,,8.23
Montenegro,,,1.51,1.34,0.82,1.08,1.08,0.78
Uganda,,,2.48,4.1,4.5,4.38,,
Norway,0.79,0.7,0.54,1.03,0.61,0.46,0.47,0.58
United States,2.72,2.38,2.32,2.07,1.98,2.23,2.17,2.75
Saudi Arabia,,,,,,0.3,,
Hong Kong,0.62,0.47,0.55,0.35,0.5,0.32,0.36,0.25
Ecuador,2.63,2.94,3.3,3.14,2.56,2.25,1.67,2.21
Netherlands,0.83,0.65,0.58,0.61,0.5,0.43,0.45,0.46
Brazil,4.26,4.14,4.12,4.54,4.59,4.54,3.85,3.53
Slovenia,,0.65,0.65,0.67,0.64,0.52,0.57,0.57
Panama,2.19,1.66,1.75,1.65,2.37,2.05,2.07,2.08
Mauritius,1.76,1.73,2.38,1.34,1.28,1.76,1.53,1.75
Central African Republic,,,,,,10.62,,
Haiti,,,,,1.56,1.46,1.05,1.7
Georgia,,2.38,1.95,1.38,1.68,1.38,1.03,1.2
Chile,,1.06,1.24,0.96,0.83,1.07,0.99,0.91
Ghana,,,,,,,,0.52
