Country,2008-2013,2014-2015,2016-2017,2018-2019,2020-2020,2021-2021,2022-2022,2023-2023
Guatemala,9040.0,6450.0,23350.0,24000.0,339000.0,16000.0,74000.0,48000.0
Kazakhstan,330.0,19000.0,4050.0,400.0,32000.0,140.0,4000.0,1700.0
Cuba,2730000.0,2000.0,1408500.0,30950.0,639000.0,194000.0,90000.0,42000.0
Netherlands,,,,,4000.0,51000.0,,
France,3785.0,2110.0,10595.0,6250.0,10000.0,9100.0,45000.0,7900.0
Mongolia,,810.0,,2956.5,4200.0,6300.0,75.0,3900.0
"Congo, The Democratic Republic of the",4450.0,65000.0,78500.0,159000.0,279000.0,888000.0,423000.0,133000.0
"Venezuela, Bolivarian Republic of",4700.0,45000.0,1165.0,16160.0,2400.0,33000.0,13000.0,730.0
Eswatini,,,,110.0,,100.0,360.0,
Ukraine,12800.0,,130.0,,2000.0,2000.0,1.0,600.0
Tonga,17.0,5300.0,3000.0,5700.0,2700.0,,2400.0,
Rwanda,3000.0,2000.0,7350.0,29500.0,6000.0,15000.0,7800.0,70000.0
Syrian Arab Republic,,2300.0,2300.0,22000.0,25000.0,88000.0,21000.0,702000.0
Belarus,,,,,,,,48.0
Nepal,131000.0,1348500.0,207500.0,66500.0,48000.0,32000.0,93000.0,110000.0
Northern Mariana Islands,,,,7435.0,,,,1100.0
Benin,82500.0,,2230.0,14000.0,7000.0,10000.0,6900.0,
Fiji,,800.0,38185.0,7800.0,37000.0,14000.0,4800.0,6700.0
Dominica,18.0,710.0,35000.0,350.0,,,,
Luxembourg,,,,190.0,2.0,560.0,,
Israel,200.0,700.0,75000.0,640.0,10000.0,3900.0,,42.0
New Caledonia,,,570.0,48.0,31.0,5500.0,170.0,2.0
Namibia,18000.0,84.0,3400.0,7.5,200.0,260.0,,650.0
